"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",0,0,0,0,0,0,0,0,0,31572.7889488112,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,136038.835027965,106851.71135982,1067070.39454715,0,119141.61515725,0,0,0,0
"4",3613486.00311419,1331674.05739077,16177.7926845148,755784.470805482,1927105.40228093,1633336.21464804,1132647.71032459,0,1106295.61023345,8088.89634225742,2317570.80776894
"5",2469116.70837757,1015574.42851868,824652.804282615,2145545.10272139,3690012.95906112,517736.989503202,2229191.26277354,35617.2371199399,222314.183342043,462160.395911508,6563833.07578128
"6",1540203.54634631,2165126.2759304,496572.500568581,5822796.01255112,3148744.79661992,5349197.80681793,2671547.19283206,416369.415914199,1262223.78817298,838539.350774077,8108771.74045524
"7",623585.368743145,4384956.81022687,1154787.87550475,6812697.03246735,1198303.48870722,3888714.32905834,2152935.43701487,1625046.1489974,985091.887245976,810520.460101197,8269417.90143406
"8",212659.862840026,388273.861032023,188877.593392711,9895571.3142993,2473551.66396968,621379.510544556,4670902.92408247,6430498.64319747,2663221.31868194,4289782.39540757,3155272.58619903
"9",179016.847501842,934741.608330709,0,6433877.11385712,1371427.76209329,454616.792592864,1102662.9529232,7044171.73478607,1278544.26193929,1575369.16844985,1583486.95630439
"10",28971.1799463944,1718859.04542452,117384.602535846,3691706.97451572,117384.602535846,253346.842195906,374005.956568439,3877873.3113982,863272.930088325,248278.974811637,234769.205071692
"11",166239.291203364,15704.1547623329,115653.50104002,3203319.73147201,346960.503120059,243594.578215486,429033.708714655,2530691.72798776,298931.768299247,244617.53970521,115653.50104002
"12",0,227895.857103222,340379.715321566,113947.928551611,0,871566.573246851,942471.040243205,475972.592777491,718684.229977561,292106.987230969,341843.785654833
"13",80686.1482140589,681915.699336417,223813.777523123,112267.508587657,257827.81971387,919539.590736263,937611.259349318,358062.703692332,67124.4630846044,187112.514312762,112267.508587657
"14",0,1173803.6705012,219802.533750518,1512246.30645291,248643.491661028,3565715.40492629,1876926.68543388,33067.280518309,99201.841554927,1394758.14046726,0
"15",156647.792865213,1397791.61028384,216561.048183058,261784.663291458,0,176807.504243845,153703.0503347,141560.276646626,0,181634.413299751,0
"16",397865.891756471,1593035.84238877,1126339.34593492,459285.180475168,107373.481804232,2480554.94466856,1117100.71025825,165496.401519741,0,922657.593820681,553594.556292409
"17",168628.198213943,1851662.9441835,637182.508705371,105790.016929385,220225.607769952,2436917.06796413,28034.5861770818,94877.3804918593,0,922374.465850444,0
"18",907005.243225492,2589972.2587319,316435.307197009,242700.906149407,204571.540689328,1668331.45707347,1188315.92183562,27164.604807919,0,46739.0994489195,0
"19",1161559.74957039,2401831.28904945,1452326.77146926,1606330.5279816,1583619.72900916,1185447.31160235,1298260.12175939,854256.564927381,246105.112444561,335314.701524876,218160.346421041
"20",2321086.83949662,4943478.29270126,925084.035271798,113365.854662104,1959468.41897513,1669786.43573482,2707876.6827825,1580795.901696,106114.295643696,880830.818501829,696777.573236898
"21",2380746.15287371,7038536.82517044,1482670.10616446,277714.583368443,3160382.72871719,1939391.79372134,3843309.41681767,2101250.28388108,1477009.08929343,385842.140810214,4022836.84628353
"22",3139858.30150833,7000974.29357591,2962197.50332595,502255.402183357,3177722.55932946,1560327.65935096,8515184.74169247,4101347.92159492,2177329.63540051,508676.235072786,2766493.91293236
"23",4509431.50502329,6092516.06571883,6368390.38777993,1120812.18513148,5306249.56512144,4362287.47757687,7731539.1993969,3084043.32867158,3291238.92196392,3430476.60755189,5173287.42989251
"24",4313336.73229062,5466240.25747853,7379439.27572427,2464378.36813175,3113725.32785884,5685272.84293957,7503039.07799281,1613536.18146232,5335716.05597947,3829872.26363678,3561017.41462841
"25",5940234.02781955,7774369.87689631,8692713.92802941,6649529.81241105,5484537.33656142,7657363.47394952,10066765.8424084,5577148.66341942,5439262.42876472,9384464.59081685,3682816.07746207
"26",5035581.84569263,6156612.3189257,8107004.64565265,6505060.79936986,6451382.44462237,8789171.11358201,10112779.4406905,4617717.19985638,5091099.54289437,3893765.06334993,3284827.24366045
"27",4993563.49686521,7238861.63853005,5458983.79269006,8650643.44258832,6734403.34620769,8971533.25035869,10610699.8137674,5318249.79836002,7652938.93432823,4322953.85906846,4385012.33307639
"28",3673047.31596425,5993214.73226465,2840789.65807908,6194257.23429724,5999065.6106428,5714682.44928228,6205261.58856417,4376543.73204944,4412170.52237094,5160236.75531631,3337901.76825507
"29",1879271.70328577,3720945.58757161,2477909.1611608,4462808.92370311,3215494.33913323,3274627.51046628,3473070.03812777,2198348.95866324,2544043.33371817,2571844.77325423,1728857.17211766
"30",1215189.25717875,2914427.2694376,1734469.38531894,1310596.28637262,4022256.40919668,2323864.75017323,1232248.99623136,1646124.67960419,2631805.39665796,2327687.07244352,1348742.42878219
"31",1590353.73360683,1319668.68739428,360515.81959643,586058.943830836,1156869.7178612,488121.233034822,1411192.8348267,540584.086059027,945317.05070424,967966.978689727,1034467.23378509
"32",1215241.44052239,1173362.92225287,426872.664397397,325112.761415896,938597.177831117,407342.734995335,844639.344800756,214221.221690143,514325.370206863,683005.986980202,197078.519115521
"33",21872.1301620887,361178.334067752,285927.701340438,486233.771604392,78076.3280186693,144541.902324382,13700.3748353227,47585.4168812371,114652.360764364,43064.844899031,228659.410380736
"34",62611.4785361876,5579.31048446613,294479.921938965,331390.47389071,0,528673.453710485,223212.81708175,20247.4977258852,187866.782603287,0,5579.31048446613
"35",20072.059865735,167245.688367553,93745.0651178438,0,92168.0086873633,26495.190988852,0,0,104650.465189875,0,0
"36",0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,14803.3578897497,0,0,0,0,180318.662497948,0,0
"38",0,0,0,0,0,0,0,0,0,0,0
