"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,37682.5396825397,0,0,0,0,0,0,0
"5",0,50394.5578231293,0,0,47290.7866064413,0,30408.1632653061,33914.2857142857,136307.785451054,38701.2987012987,0
"6",148141.727076204,80346.9387755102,46614.5323942772,0,86815.3910927218,0,30408.1632653061,0,0,77400,4285.71428571429
"7",208872.671451848,43446.4285714286,592708.8448635,199928.571428571,245758.999289114,176056.299111867,0,42571.4285714286,190113.82600587,85714.2857142857,123519.841269841
"8",135668.427245141,93755.1020408163,512188.617762539,0,343931.833720601,69035.3440689727,33000,37107.1428571429,0,179335.714285714,52964.2857142857
"9",201615.922183685,328403.06122449,514668.518558228,23428.5714285714,265992.307150718,31145.5656046034,102636.734693878,63666.6666666667,190113.82600587,225028.571428571,198964.285714286
"10",202821.581175972,373644.712430427,531765.570521191,0,288906.758965745,54660.4676360789,135636.734693878,9000,190113.82600587,192116.666666667,66916.6666666667
"11",114581.316359936,373891.774891775,342586.908514443,11571.4285714286,183192.594914907,0,254723.809523809,5714.28571428571,190113.82600587,49738.0952380952,141250
"12",41551.7760211109,235907.029478458,343072.705421825,10714.2857142857,0,2874.97528657877,734077.551020408,51178.5714285714,44019.644276527,293502.380952381,74214.2857142857
"13",200103.483777408,246234.693877551,526611.171173662,2857.14285714286,126094.411996558,2874.97528657877,2025317.34693878,34238.0952380952,0,288454.761904762,85724.4897959184
"14",52180.317164539,324789.115646258,427448.618529976,65035.7142857143,83190.6412037844,26593.5214008536,2164177.55102041,51619.0476190476,190113.82600587,325526.19047619,37107.1428571429
"15",85923.5239046873,273768.707482993,1234985.7138719,0,122360.42525439,2874.97528657877,3515245.91836735,223226.19047619,0,410923.80952381,234320.634920635
"16",103058.664230138,516139.455782313,1228400.77689761,0,157687.783058892,24940.4106110708,4116359.86394558,31380.9523809524,0,853300,85785.7142857143
"17",194132.411919101,449697.278911565,1088187.16498489,16428.5714285714,380148.235987523,172726.119404914,6614753.7414966,236523.80952381,0,1120397.61904762,177621.428571429
