"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,142036.656450954,0,0,0,0,0,0,0
"5",0,236518.782994917,0,0,221951.730071422,0,114617.376519876,127832.990805859,513784.427928902,181638.344784777,0
"6",646533.811351264,302851.417019296,175703.983305978,0,327232.930242378,0,114617.376519876,0,0,363264.499076616,16154.126892063
"7",842735.323398393,203908.851571937,2596312.64598959,896189.73350567,968545.234294941,668921.55689006,0,160464.327127826,716595.336154698,367997.652569716,579720.584817984
"8",590273.376001801,442930.634832693,2289676.30057424,0,1467165.66152717,277978.103596523,151916.757947465,175306.62315728,0,715788.207076961,215706.030188103
"9",807955.063656779,1403219.47260351,2228441.27563606,89471.073846766,1225201.20043425,137782.283081155,435237.345840255,243135.824660825,726023.275372177,908698.761916631,794561.918616348
"10",814481.118356003,1637736.69348211,2237810.54511539,0,1157218.941962,215485.106903659,529346.457643692,34588.2572103225,730633.990347726,840969.045727734,257170.097591564
"11",443050.783655793,1530348.17528326,1382381.68421343,44743.1628423939,785407.269716986,0,1007508.32500633,22095.3890579723,735111.816407387,192321.948925434,546170.398276753
"12",161606.809513593,917510.297429242,1405643.98848321,44395.1089014688,0,13922.7781305549,2993467.44233332,199048.186047038,213176.003115268,1281889.3836046,288640.705237785
"13",846828.906864119,962939.792315466,2186298.08244843,13912.4484111606,571046.078652193,11243.0464682891,8211441.71479021,133893.49729183,0,1249757.11245093,382841.516287989
"14",205096.627797743,1317458.68824656,1887259.91762129,318291.793342085,378821.237851886,130151.559199806,8796246.50230564,202890.537506975,747249.283452592,1392574.48881087,145850.969882205
"15",364970.099013903,1081016.30948168,5170285.88703747,0,528936.303366691,14135.2755190851,14455836.4389203,886281.749776491,0,1878996.79269533,1010089.05633898
"16",461080.493047384,2144660.52863156,5308322.48154785,0,629186.690542609,109011.192282135,16909633.4332957,124416.662008107,0,3584786.32349445,351363.128644458
"17",805348.777125297,1899140.75070178,4440424.90761122,65360.6239566071,1512409.40261771,723077.744892303,27034580.498243,941003.533891209,0,5016169.02266339,735852.044230882
"18",771767.306125731,2753674.74646189,5807024.41386076,226557.392374596,1922519.41258028,677559.285535586,28572892.4488744,1161401.6317901,0,6300125.12642265,842366.038210246
"19",600928.286025883,3135078.44501658,7291806.11197262,0,2179795.51641211,1008651.03401899,26627022.0585597,1139669.50509074,0,6574879.71389606,819320.766023442
"20",1059164.18261035,3121650.78602829,7421743.82418504,172331.602083582,1766147.44530366,1658568.45211744,33114220.1228484,929988.121172508,0,8752604.90834306,799681.822689677
"21",1384301.43788169,3913641.66096862,7009747.93422677,14205.7338988728,1875546.97611052,1416960.36768574,29456340.3622403,1027427.41474557,376005.150181001,7888809.60008064,1590943.63377432
"22",1373734.98198392,3721345.48522345,2913616.06162991,0,2287499.28825828,653691.882694567,34282956.295192,1045024.38943932,0,4948171.3854846,944390.146375766
