"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,67828.5714285714,0,0,0
"8",0,0,0,0,52122.4489795918,0,0,64322.4489795918,0,0,32747.2527472527
"9",0,0,0,0,0,0,0,0,0,52678.5714285714,42142.8571428571
"10",0,0,0,51346.9387755102,0,0,0,12857.1428571429,0,0,0
"11",0,0,0,0,0,0,0,0,0,52678.5714285714,0
"12",0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0
"14",45843.2763427952,0,0,42392.8571428571,0,0,0,0,56432.3784814811,113488.095238095,0
"15",3733.51663245944,64809.5238095238,0,0,0,0,0,0,0,113488.095238095,37107.1428571429
"16",0,64809.5238095238,173785.714285714,0,0,0,0,0,0,0,42142.8571428571
"17",36559.7436393912,0,0,52122.4489795918,0,0,0,0,40798.4540853238,0,0
"18",0,181741.496598639,16428.5714285714,2857.14285714286,0,0,0,20214.2857142857,0,0,0
"19",73859.0107655966,129619.047619048,0,7500,55551.0204081633,0,0,176385.034013605,0,60809.5238095238,55551.0204081633
"20",41757.9475661232,0,0,22214.2857142857,0,0,0,155479.591836735,0,0,72866.6666666667
"21",37299.2671262053,64809.5238095238,13428.5714285714,0,0,0,2476.19047619048,336057.823129252,0,60809.5238095238,72321.4285714286
"22",3733.51663245944,58741.4965986395,26000,54979.5918367347,0,0,0,248612.244897959,0,0,59836.7346938775
"23",0,119166.666666667,26928.5714285714,54979.5918367347,0,0,128007.456828885,1068074.82993197,0,0,61059.5238095238
"24",38842.9326569337,154039.115646258,37107.1428571429,222581.632653061,0,0,8380.95238095238,1363006.80272109,18560.3750683023,0,137166.666666667
"25",54973.6391330726,285986.394557823,107964.285714286,237795.918367347,8952.38095238095,15086.9362938905,0,1329604.76190476,40798.4540853238,31952.380952381,345560.544217687
"26",57043.8262401735,64809.5238095238,58880.9523809524,162329.931972789,33914.2857142857,15086.9362938905,56559.5238095238,1481064.1723356,67219.4917057015,0,109521.428571429
"27",74971.8859156566,160658.163265306,191801.020408163,424340.816326531,0,18235.5143030502,50940.4761904762,1857230.83900227,40446.1506696754,0,451646.258503401
"28",118625.311156721,26428.5714285714,293406.462585034,500996.93877551,0,326894.552263492,9976.19047619048,1171318.82086168,157286.289554509,0,461202.380952381
"29",81326.0440305154,201394.897959184,104931.972789116,358573.129251701,55551.0204081633,473504.901198936,42408.1632653061,690647.845804989,65712.5660156322,138980.952380952,392276.19047619
"30",59628.5685241839,223608.163265306,147209.750566893,579403.06122449,0,66288.8120142741,61511.9047619048,964230.839002268,75752.1085773794,72380.9523809524,701038.43537415
"31",50894.8064018234,213759.183673469,301157.029478458,437076.530612245,0,209614.706806234,282840.476190476,980593.197278912,94326.4775792649,36238.0952380952,633366.666666667
"32",33142.1399527553,102503.401360544,414899.092970522,368074.829931973,22214.2857142857,241718.957578202,29000,714524.943310658,136766.763784553,77828.5714285714,444778.571428571
"33",148457.545018007,158166.666666667,231197.845804989,274889.115646259,0,105186.869502435,124095.238095238,496517.006802721,190474.130585205,69523.8095238095,672308.477237049
"34",104035.876931418,291082.993197279,96074.8299319728,295562.925170068,0,561205.917829073,238880.952380952,598347.392290249,383365.651820014,107028.571428571,562271.428571429
"35",152274.826446708,144474.829931973,71285.7142857143,485858.843537415,22214.2857142857,71367.7682076211,234312.925170068,234869.387755102,836534.026383676,149500,538952.380952381
"36",83142.5434690005,67666.6666666667,185043.083900227,239279.591836735,22285.7142857143,192887.886132573,168964.285714286,218563.718820862,560164.272187897,147295.238095238,523071.428571429
