"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,255665.981611718,0,0,0
"8",0,0,0,0,246243.979399803,0,0,272335.637599711,0,0,154709.035909882
"9",0,0,0,0,0,0,0,0,0,201173.52732314,200392.996443228
"10",0,0,0,197333.458370003,0,0,0,61525.1046869328,0,0,0
"11",0,0,0,0,0,0,0,0,0,203691.867878182,0
"12",0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0
"14",224361.93405552,0,0,207475.210706785,0,0,0,0,221809.508912361,446069.071506918,0
"15",14742.3436685527,318646.382661079,0,0,0,0,0,0,0,448124.561102413,182443.198889527
"16",0,319943.268728919,689011.54476265,0,0,0,0,0,0,0,208045.402516601
"17",145451.944276082,0,0,207367.743584068,0,0,0,0,162315.538333672,0,0
"18",0,851838.722947997,81610.3371122272,11398.707400339,0,0,0,80645.8548573986,0,0,0
"19",331743.136932612,645058.443935191,0,37324.2854224073,222024.324714987,0,0,827729.227661772,0,243041.32238884,276453.618829368
"20",175414.147721226,0,0,110598.676403183,0,0,0,739897.771663579,0,0,291356.531009345
"21",148939.638967743,322233.397272764,53621.6053161753,0,0,0,9887.67190227347,1512155.43718323,0,242818.404215446,325111.072314133
"22",14855.708615171,291032.848923947,115717.188024723,218764.472349364,0,0,0,1166478.73036466,0,0,296459.170716276
"23",0,534104.013911555,106495.033834273,217429.042174711,0,0,630337.336385854,4772786.11166114,0,0,241473.487416439
"24",173670.722787636,751639.074411163,145416.647225547,921589.068515057,0,0,32843.5417538612,6241793.69627595,90565.9778591544,0,554505.484029644
"25",212753.058948117,1328673.02819873,453037.291702025,990525.747052597,43140.1451309922,72701.6225920737,0,6061182.39287807,196601.467221174,149229.834737765,1465501.6924183
"26",217191.672203584,307252.250552151,224186.443151884,720930.939972727,160782.551684968,71524.9064914992,257917.309813104,6467970.19814074,281921.350928633,0,491222.770726341
"27",307985.791582346,664665.207726247,787750.433707277,1705734.59994181,0,76366.781448955,234357.791920786,8182360.79239871,187875.433026946,0,2019933.78599198
"28",431938.754801585,96231.774844075,1207932.22769789,2156773.76834303,0,1366768.34952552,43020.1369863377,4775934.56220149,596872.50931401,0,1809516.51643118
"29",288051.20383804,836063.404164018,443671.993563507,1363600.9784184,196757.858983019,2088268.06707308,150206.771111945,2717454.43566182,240807.37949199,559790.191032009,1529398.17706002
"30",255045.256519149,873840.353296322,549575.551688202,2112517.25599521,0,283532.667024754,249707.026894856,3747458.11203272,284009.514849474,248636.817830413,2782464.9151733
"31",194558.923775605,795247.058521793,1145867.4302323,1519765.46002477,0,819724.132180203,1125649.99519351,3508410.25852135,328904.391287164,120419.775288936,2496540.10726159
"32",106311.159918098,365201.608984064,1465520.66748493,1237363.98689551,71257.5133773583,946418.12835745,113881.974921429,2555165.98282572,470304.407031485,302992.118710634,1661902.69194682
"33",458907.701267487,572278.37736999,829725.162741805,999524.963419769,0,353683.164340467,461490.762033777,1742583.77077441,703006.968678662,260991.526492421,2324498.2802682
"34",385386.003215127,1022089.16736449,333633.558577891,1006662.69207927,0,1895486.142362,878371.041779926,1890331.50393489,1234703.34099369,375133.941048016,1938926.178881
"35",493936.928559309,503295.143880132,235042.547771315,1434201.06732186,63550.5150498886,254220.494196264,834650.55905932,769580.420215281,2643364.45554666,522384.310049573,1876751.29002992
"36",259530.299819799,207032.604605876,570020.578938439,698806.685329738,72934.1748981683,608761.893794333,571138.969186264,630135.780968929,1653831.69779557,500958.235305555,1725956.62678961
