"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2",0,0,0,0,0,145485.714285714,0,0,0,0,0
"3",44928.5714285714,0,0,0,205471.428571429,1906940.47619048,91224.4897959184,293841.836734694,171102.443405283,0,33914.2857142857
"4",0,30309.5238095238,43485.7142857143,0,1223368.36734694,2397182.99319728,290036.734693878,247507.142857143,1026614.6604317,0,219122.448979592
"5",726355.890538033,87596.9387755102,292793.650793651,131464.285714286,1047882.87981859,2350624.48979592,508235.714285714,201511.56462585,3349588.70583135,249964.285714286,1100494.89795918
"6",500866.666666667,294252.380952381,327729.292929293,217428.571428571,550181.972789116,1441588.0952381,212857.142857143,149987.301587302,1229640.91542535,554009.523809524,2105681.85941043
"7",542542.857142857,1098546.82539683,173942.857142857,448038.069073783,416394.557823129,631569.387755102,30408.1632653061,33914.2857142857,307410.228856338,567619.047619048,595864.285714286
"8",133678.571428571,2078904.76190476,86971.4285714286,819151.334379906,69360.5442176871,72866.6666666667,0,77120.6349206349,171102.443405283,150250,726515.306122449
"9",262928.571428571,2675997.61904762,86971.4285714286,942826.530612245,390187.755102041,38952.380952381,30408.1632653061,0,171102.443405283,70952.3809523809,784477.777777778
"10",219107.142857143,2338664.28571429,420977.777777778,1195847.95918367,208081.632653061,38952.380952381,0,0,0,70952.3809523809,305742.857142857
"11",350235.714285714,1727976.19047619,232371.428571429,832607.142857143,368424.489795918,38952.380952381,30408.1632653061,0,0,35476.1904761905,348892.857142857
"12",87642.8571428571,421523.80952381,175285.714285714,569678.571428571,303074.829931973,0,76059.5238095238,77904.7619047619,0,35476.1904761905,174278.571428571
"13",204207.142857143,309611.111111111,58428.5714285714,134321.428571429,177673.469387755,0,76059.5238095238,0,0,35476.1904761905,175285.714285714
"14",189978.571428571,132235.714285714,203828.571428571,185287.414965986,216625.850340136,38952.380952381,300547.619047619,48847.619047619,0,37107.1428571429,170711.904761905
"15",468292.857142857,600579.365079365,24571.4285714286,10285.7142857143,75323.8095238095,192428.571428571,453785.714285714,148371.428571429,0,228935.714285714,888350
"16",426811.904761905,958134.920634921,305251.700680272,7428.57142857143,209672.448979592,656064.285714286,519500,338667.346938776,0,1325307.14285714,3103785.71428571
"17",824046.031746032,2948808.73015873,165425.396825397,43794.8717948718,68209.5238095238,2709642.85714286,1427729.59183673,545694.33106576,0,3695085.71428571,10637333.3333333
"18",1048521.6553288,7275277.77777778,222764.285714286,15619.0476190476,552439.795918367,4094290.47619048,1417766.32653061,484812.698412698,0,4453985.71428571,12405059.5238095
"19",1467880.95238095,11465082.5396825,752983.611626469,53797.619047619,908628.798185941,8833090.47619048,1757008.16326531,1185425.62358277,684409.773621133,7012271.42857143,11200648.4126984
"20",2710886.28117914,15949132.5396825,1920063.03854875,198731.292517007,2206172.33560091,16376963.6054422,2154208.16326531,1067112.01814059,307410.228856338,7929997.61904762,11017833.2199546
"21",3849967.31601732,16498420.6349206,4761327.87054216,857584.161869876,3398294.7845805,14051984.3537415,3271497.95918367,1875303.06122449,1844461.37313803,6165714.28571429,9973105.44217687
"22",4519628.90125747,22069949.2063492,8649827.03566275,969658.337694052,4494421.08843537,17887658.8435374,3255661.2244898,3825947.27891156,3897690.69400142,9669889.79591837,12062053.5147392
"23",5737609.50319522,24393125.3968254,11155291.9294991,2012694.45316588,5103675.05668934,11893828.2312925,4928465.6462585,4310205.78231292,5959532.5539624,12519951.0204082,20951134.4671202
"24",6696023.85075242,32005311.9047619,14937684.992785,5418323.15541601,5341562.01814059,11270210.2040816,6291262.58503401,6373703.28798186,13904848.6781663,11375872.7891156,19324605.6689342
"25",9474880.08658009,30677165.0793651,15846416.3986807,9122170.95761381,6098708.16326531,7335120.40816327,7265455.10204082,8695325.73696145,18975069.5838882,11904810.8843537,18907880.3854875
"26",9306876.13894042,17897265.0793651,10674519.4083694,11240885.4177568,6912805.78231292,8008457.4829932,4661307.82312925,7939704.53514739,20705807.1629866,14820477.8911565,12106445.2380952
"27",13319115.543187,18864592.9705215,12065604.4114616,14910868.4371184,9146825.85034014,7118452.38095238,7565463.60544218,12700715.7596372,20077436.3104271,12208943.1972789,13552830.2721088
"28",14091479.674294,13502280.1587302,10225287.5901876,12317507.7533578,12220719.3877551,7146859.52380952,6895028.91156463,10493972.4489796,19269044.2517523,13204244.8979592,17122881.5192744
"29",14321460.9771181,12286672.2222222,9954659.43104514,10688075.3968254,12021338.0952381,6375468.70748299,7028984.69387755,8241618.70748299,15501307.2032455,11417117.0068027,15732436.5079365
"30",13475641.38322,9663427.77777778,10149916.9964956,10933039.8133612,9711957.02947846,6746602.04081633,7237534.3537415,8414824.14965986,10837980.9224449,6395553.40136054,15836514.2857143
"31",10815329.2207792,5533400.79365079,5327333.76623377,5243253.61939648,8162483.90022676,5258206.46258503,3930277.89115646,5862873.01587302,11049811.1062938,4036512.24489796,9153050.34013605
"32",8084084.32282004,4910771.42857143,3818340.68233354,5271490.82504797,5138028.57142857,3525056.80272109,3185769.72789116,5995879.47845805,6871619.58337204,3962186.73469388,6591492.5170068
"33",5864030.09688724,3360867.46031746,2086451.9583591,2298254.3956044,3554363.94557823,2367189.11564626,2734996.59863946,4296051.02040816,3074331.95627265,2540561.2244898,3488193.87755102
"34",3806256.31828489,2256323.01587302,1427212.35827664,1996315.97767312,951307.709750567,1946241.83673469,1427893.87755102,3026925.62358277,4369121.94522726,976377.210884354,2675415.41950113
"35",2091212.15213358,1644676.19047619,654547.94887652,1292864.01534973,879226.64399093,1025142.85714286,1093012.58503401,2446861.45124717,2436047.114263,978633.673469388,1558135.26077097
"36",1167013.11069882,735815.873015873,728475.819418677,615381.292517007,519432.653061224,496048.639455782,732031.292517007,1431685.48752834,999973.206156514,329616.666666667,923900
"37",825115.275200989,332285.714285714,207357.081014224,547004.997383569,522009.410430839,750716.666666667,371833.673469388,1391570.52154195,1847868.11082551,275773.129251701,170971.655328798
"38",106138.095238095,128928.571428571,204948.412698413,461975.143903715,46789.1156462585,210107.142857143,404086.054421769,584700.680272109,983130.9074768,179668.367346939,84285.7142857143
"39",672782.251082251,373920.634920635,0,508622.762951334,181179.591836735,203611.224489796,125138.775510204,260612.244897959,266797.322267298,471964.285714286,152030.612244898
"40",361236.363636364,172495.238095238,104252.319109462,156785.714285714,150735.14739229,116950,197689.795918367,359183.219954649,478512.672261621,124569.047619048,225704.081632653
"41",119804.988662132,32984.126984127,77272.7272727273,0,0,49228.5714285714,122786.734693878,231642.176870748,0,82714.2857142857,6142.85714285714
"42",39360.5442176871,35476.1904761905,0,125128.571428571,0,116743.87755102,48607.1428571429,197727.891156463,624007.166083429,35476.1904761905,0
"43",0,30309.5238095238,0,245255.102040816,0,113435.714285714,30408.1632653061,106281.179138322,51675.2345854882,0,0
"44",0,67828.5714285714,0,0,0,37107.1428571429,0,30408.1632653061,0,0,0
"45",0,35476.1904761905,0,45607.1428571429,0,37107.1428571429,0,38952.380952381,171102.443405283,478342.857142857,0
"46",0,0,0,0,0,0,0,104244.897959184,171102.443405283,0,0
"47",0,40539.6825396825,0,0,0,0,30408.1632653061,0,0,37107.1428571429,0
"48",0,0,52122.4489795918,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,42142.8571428571,0,0,0,37107.1428571429,0
"50",0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,51346.9387755102,0,0,0,0,0,0,0
"53",0,40539.6825396825,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0,0
