"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2",0,0,0,0,0,2661355.02639483,0,0,0,0,0
"3",821873.680087563,0,0,0,2945257.82523232,26765916.1991768,1668760.0953856,5375218.13051136,751456.685508752,0,620390.498101073
"4",0,133114.956443399,190982.840886271,0,22378950.1914753,13503592.3553273,4834167.83573951,4527622.39884168,4508740.11305251,0,2376685.34245484
"5",7610101.30262942,384712.83029571,2333559.75576707,577371.74548486,18455036.4092418,17577987.8424638,5613737.85766661,3144751.33433358,24185001.6086915,1613634.26609313,13099282.3005837
"6",5028727.23054315,1763756.99986338,1963165.31993307,1540743.8926311,7637507.41106336,7696835.32721835,1357542.36340302,1601610.01665307,12979683.2606068,2904572.04448725,20126630.4222828
"7",4755179.82800238,5133457.31898709,763931.363545085,3008767.76344728,6534104.81956126,5060670.34100844,133548.16637908,620390.498101073,3244920.81515171,2492899.10574283,6654605.38678522
"8",587096.561627229,10116555.1051985,381965.681772543,4069035.75520745,727326.474901826,861498.388678357,0,810146.408778701,751456.685508752,1269039.41338198,5004238.43923254
"9",1154743.49096972,12245742.7683427,381965.681772543,4140755.00970734,2255125.78880181,171073.109773292,133548.16637908,0,751456.685508752,311612.388217854,5258801.06246077
"10",962286.242474766,11257380.6066139,1848872.28531513,5251987.79103362,913863.828457116,171073.109773292,0,0,0,311612.388217854,1947274.32032677
"11",1468028.81852144,7713554.05603648,973995.340365459,3489910.45277572,1544267.8927605,163270.664457344,127457.190032191,0,0,148700.055037556,2039326.58057312
"12",905391.180718184,2584426.94681688,701148.527614535,2278732.71474724,1212309.12416202,0,1267219.44250914,1297962.75344809,0,141905.909555237,1247686.40936763
"13",779380.740526865,1671399.76060213,222999.561282653,547168.833861811,678111.833924825,0,760847.363810511,0,0,135399.081626386,668998.683847958
"14",691651.657643357,1500265.71450402,742075.110069212,674572.646472714,1139072.8417522,141813.251106582,2847134.45946021,177838.671130968,0,135095.325091448,621507.84175372
"15",1625762.25950835,3358378.53704821,85304.1011074985,67104.4620754523,661168.18671387,777935.330710076,2798655.75670262,515097.903547953,0,1202543.74936889,5772642.26826972
"16",2176806.23647658,6875967.89523269,1563834.82027185,24583.5292580518,693873.490166925,2526366.98917011,2496559.38492276,2175810.55663314,0,8207609.74512073,30942727.2708681
"17",4292309.36200619,20732111.8491886,564457.839450518,219864.151377285,215103.047169755,11341310.7743874,6853108.00640123,2216499.77062345,0,19846886.7923562,86624571.2707596
"18",3810729.25495564,36940107.4666004,1673375.94391107,124810.78519518,3828181.81821267,16831592.0562016,5780267.36265517,1929292.39800137,0,28266773.2432924,83047570.0581439
"19",9381857.17652212,83985502.2809909,7734627.37255302,592907.436554687,7970190.39450464,35689087.2384738,7461021.34998581,4805418.71150228,1958489.35375779,42281212.8217335,69754880.6516335
"20",16001561.7652931,95279229.2979137,16385149.9940993,714120.889322074,12648453.401309,64605941.6993617,8106250.83438135,6277823.29702599,837781.226989913,48557433.8281835,57279408.6167311
"21",23700829.8141638,90951768.0111452,28219820.4788583,3860801.64374454,19946617.4725244,54160755.3698508,15102027.9000544,9999059.60545884,5908713.26762911,39356064.5914008,42646441.2411448
"22",26814571.3551021,97314298.7156704,47700504.2449726,3843964.76617281,19921608.4333231,65077310.3860296,13306733.3309104,16048359.8736427,13918759.9904847,71212450.4268516,47169894.1073822
"23",30048855.7023043,101219522.013269,61828291.0564707,10738463.8539372,22524350.8309629,45560724.3677249,26428419.2427308,16531980.6212056,27591845.5449942,88756728.0128791,76813907.0260129
"24",25590143.3246741,131454338.631563,73219083.8188889,25861077.8820854,21998401.8270838,38101368.3360457,31209916.8799994,27433972.1860234,64262822.4651661,75062611.1924295,68080336.7718769
"25",34288432.2414944,138705348.066843,60175974.0906032,40584320.972847,22030335.8770384,34602618.8812624,35970570.6654932,33679188.0044988,108918753.770488,67153664.7035107,76587235.9004225
"26",25358883.2619476,76717989.7046269,37389610.680921,49188679.4722662,27312767.5102204,34332283.8613825,17939391.7913311,28456801.8197244,108690004.949335,85558144.7071648,47370378.3954225
"27",32236137.8211086,68724505.4129571,40530537.8220751,57685158.5817336,30568170.3992762,36733387.0434794,27498249.5436002,47982034.7145721,95016357.4865505,51117482.0541899,58087888.6042652
"28",34448687.4783059,42560123.0915232,33425808.8801952,44308445.2149862,32471720.8970332,30392431.885961,24472822.7814025,38579151.5800821,76457758.8509856,63395422.253154,72596108.2565655
"29",31318402.2249701,39024265.0084546,30495686.7767404,36771106.1530102,30294826.1850172,25669238.6976046,24918248.8571556,28265646.7409163,59824294.9595706,58712719.8511923,62429507.9082573
"30",31931971.7705389,25589418.5515337,32843991.1990227,33437226.0614943,24439825.9537058,23597540.1048128,26248093.9987563,28055696.4863893,35774435.5711324,31091692.2317373,71348634.1064063
"31",22105569.8035639,19790918.6688985,19067814.4046034,14714868.7652686,20269311.4524895,21972252.1929622,10879028.4227336,17113544.2523896,38930748.7665053,15145384.3461788,41363420.1210569
"32",15648362.9864457,15005660.3819351,12862024.9508649,13482169.7920135,11315706.0950276,15418464.8139658,10688711.3906282,19341554.0965205,24984045.5810714,18273843.5196301,26846227.3688739
"33",11207198.7230954,11606446.5562401,7230905.14317088,5801896.4850776,7281060.92385775,10295944.6208444,10271707.776004,12895672.2922494,7805349.83363054,12793732.5384371,13582821.8718783
"34",7697148.70430243,6557585.94964853,5070402.0715342,5778558.03401053,3524946.06114846,7109033.406432,4655152.17442439,10527170.8537187,15232778.4456269,2979857.12770456,10570360.2037667
"35",4052066.84007012,4073416.97783713,2891385.79101585,3706686.43398788,2950444.00839233,4181836.67914011,3376120.96344857,6249791.10180457,7810103.73488921,2245267.107151,4820242.44910113
"36",2560346.8805696,2135063.1665587,2323696.21782969,1687248.33885199,1421307.63609713,2271857.64575091,2086670.72881974,4280600.47731038,4484769.61483815,1202419.22320966,4344873.72200489
"37",1448385.95247545,524973.183153743,811015.257420553,973094.010803027,1325372.37827967,2191262.02567598,739904.307440665,5019434.06562061,5381023.91676304,591333.395072413,674372.141976582
"38",144609.158012545,175660.323621053,1000560.36633094,1419853.34436494,194882.120478411,644350.51458365,1138585.52194906,1928225.65367678,3690761.39142472,244791.384895741,114836.11184091
"39",1031314.7327051,868481.131087374,0,671378.627180737,507896.855922835,459313.381352101,292228.509291282,997313.613507242,352170.671481437,2439835.13820043,708821.421127073
"40",757985.970446274,495573.835627708,344597.642683376,385442.058835586,491162.53427977,623482.461452136,423762.106155716,1081420.24137144,612467.060893506,159440.78996476,710506.757127002
"41",500291.695304975,170652.875156451,95984.2851178201,0,0,111698.883829209,382379.913073985,625999.549587949,0,102743.51460763,31781.8395984344
"42",47487.93266768,42801.5155309283,0,150965.828671974,0,189948.097864766,58643.8214472418,752762.956859915,1406254.06543144,42801.5155309283,0
"43",0,35546.3194804665,0,287629.600060491,0,554115.193614019,35662.0015885277,165300.061097269,60603.538654957,0,0
"44",0,77375.6323878007,0,0,0,42330.0769012873,0,34688.1972132095,0,0,0
"45",0,39383.7377736589,0,210885.898742294,0,41194.3324296962,0,180114.502919548,189948.629575336,2059040.31750156,0
"46",0,0,0,0,0,0,0,112658.849343101,184912.688977639,0,0
"47",0,177676.483148697,0,0,0,0,31996.6913879548,0,0,39045.6269235898,0
"48",0,0,53405.3398036072,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,42050.0531765128,0,0,0,37025.4281783023,0
"50",0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,47338.3034384168,0,0,0,0,0,0,0
"53",0,151644.936583808,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0,0
