"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,57795.9183673469,0,0,0,0,0,141035.714285714,0,0
"6",0,44928.5714285714,0,284735.714285714,71847.619047619,0,174729.591836735,0,244704.081632653,0,73078.5714285714
"7",49910.1426745814,241236.111111111,37107.1428571429,87442.8571428571,122395.918367347,50629.3375436771,805708.163265306,37107.1428571429,436081.632653061,230511.904761905,1341587.64172336
"8",524897.56501679,743431.462585034,297397.619047619,258278.571428571,396118.367346939,368349.736073901,532092.176870748,349157.369614512,702736.961451247,882476.190476191,5350584.80725624
"9",1346472.25966884,1610235.31746032,650985.14739229,968565.873015873,861620.408163265,1079356.08401649,1239615.30612245,366633.333333333,765469.841269841,1213711.9047619,11919358.8435374
"10",2148935.93058422,2338303.51473923,969587.868480726,2040896.2585034,1325760.77097506,1882958.08133106,1163282.65306122,640030.045351474,888967.346938776,2204522.72727273,8878632.53968254
"11",2860647.45366349,4101136.79138322,2350915.53287982,3740739.569161,1836424.03628118,4500126.83162164,766641.836734694,2258963.94557823,2063057.82312925,1930166.66666667,8416395.01133787
"12",1814882.60696905,3870108.5600907,1645834.12698413,3194677.32426304,1792222.78911565,3524446.67971933,493070.74829932,3575080.04535147,1713634.92063492,1571830.95238095,6734195.46485261
"13",2007281.11271237,3405087.01814059,2240871.42857143,2721489.79591837,1468706.80272109,3621233.98372379,249652.380952381,3082285.71428571,1144410.54421769,2056326.19047619,3706106.80272109
"14",1774932.95331036,4044405.38548753,1347689.68253968,2583168.48072562,445150.340136054,2859156.74489792,360155.782312925,3788165.98639456,842758.73015873,870214.285714286,2255228.57142857
"15",1037038.26441176,2446203.96825397,858362.811791383,2306396.14512472,413558.163265306,1914003.57123456,269911.904761905,1253704.76190476,605652.380952381,1016392.85714286,1547427.09750567
"16",643541.338618397,4052091.38321995,859514.285714286,1720042.63038549,630992.743764172,826520.793705616,212804.761904762,1096259.86394558,321512.698412698,531602.380952381,1515452.38095238
"17",1029922.01759967,2988861.9047619,404187.301587302,1836870.52154195,414522.108843537,1288512.31075578,179478.571428571,721418.140589569,251283.333333333,947680.952380952,2082006.34920635
"18",661845.143237018,2508019.04761905,439824.603174603,2270466.66666667,297611.111111111,328020.405699827,235733.333333333,858819.954648526,208695.918367347,714691.774891775,1530955.44217687
"19",236448.87354942,2537617.85714286,373568.253968254,4843929.47845805,230091.836734694,403727.200849046,375847.619047619,573122.448979592,33914.2857142857,1010133.33333333,669588.321995465
"20",353427.950037158,3104753.96825397,302953.968253968,5929741.95011338,462233.560090703,459228.673582948,528009.183673469,514816.326530612,131426.19047619,613828.571428571,983104.195011338
"21",369257.103246829,1572698.41269841,532607.142857143,5188900.22675737,300519.274376417,132510.223215999,370866.666666667,943631.292517007,331640.476190476,632967.965367965,642123.80952381
"22",532581.361060553,1921519.04761905,1567972.22222222,5931371.88208617,507715.986394558,928742.965900815,1896645.57823129,949000.907029478,768059.523809524,757764.285714286,2096313.71882086
"23",1806040.8053544,2759360.31746032,4137392.06349206,5737887.75510204,1784504.53514739,1085841.04393115,2449996.93877551,1126606.91609977,1697057.93650794,1353326.19047619,4692593.65079365
"24",4241935.43972428,4809096.82539683,4913598.41269841,8321428.00453515,2975305.55555556,3119631.7660098,4030452.04081633,1771087.07482993,2231605.55555556,1363928.57142857,4759401.02040816
"25",9324503.2618854,8232330.15873016,9150685.71428571,15484699.5464853,5402565.19274376,6532289.54851724,5564281.29251701,2778674.82993197,4745373.24263039,3124627.70562771,6121771.6553288
"26",11406690.2743678,10168953.968254,13954615.8730159,16168540.8163265,8374983.5600907,8234746.30079124,6178891.49659864,2315577.32426304,4266016.09977324,4246728.57142857,8864032.65306122
"27",14301315.4645637,14287476.1904762,25568242.0634921,21017985.8276644,12365520.4081633,11307917.283192,8048855.78231292,3171996.82539683,4442198.75283447,3699638.0952381,9108290.47619048
"28",16658268.4454704,16127752.3809524,24779196.031746,14829899.5464853,11818420.6349206,12329692.4356528,7992416.32653061,3701672.22222222,3298237.98185941,3431622.72727273,10749375.0566893
"29",18602694.1645691,12993436.5079365,29853088.8888889,14755488.6621315,9291798.75283447,10824884.726479,8287707.82312925,3643645.46485261,2616307.82312925,3410552.38095238,8274418.93424036
"30",19490241.3289463,11831901.5873016,33970137.3015873,12064034.5804989,10980498.8662132,8016951.20506637,6693442.17687075,3602913.26530612,2091490.58956916,2279619.04761905,8065962.58503401
"31",16215354.3926603,6276260.31746032,17331677.7777778,5796201.24716553,6838719.3877551,5923382.74106507,5912120.06802721,2588341.15646259,1187142.17687075,1631316.66666667,3734816.32653061
