"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,253831.145762118,0,0,0,0,0,619408.047519617,0,0
"6",0,197319.656566138,0,2670409.53991293,821144.950707635,0,1401373.4606721,0,1074704.22078414,0,320950.303072839
"7",219197.982454713,1059473.40594774,678797.101439569,384036.126499628,537544.814122078,926157.201182579,5341715.29358907,678797.101439569,1915206.18737462,2019868.94681732,7132998.91522092
"8",3475536.58367097,5114762.67602111,1306126.4622526,1134321.37707074,1739693.42267428,2299804.65320144,2336870.33135661,3376045.14354093,3672146.73503358,7296685.81774498,36870023.8923466
"9",10659452.177783,10162959.5127776,2859030.71539499,4253798.40373995,4626456.19580659,10245809.091385,5444207.52097763,2126027.50888048,7570757.64307033,10441526.3031145,80256178.4435293
"10",15362102.5323968,19400937.6174469,4258286.85702758,9504793.97599965,6423159.02954872,16111297.1846905,6914612.02234201,4624407.93470621,7730121.01268997,14719411.9079913,78436080.2020514
"11",16457047.9671381,28503185.0077693,12775653.6301371,16696196.9186186,8829785.05057952,33475440.7792752,4175950.67737487,14625255.6435352,12579738.1306866,13859644.8639871,81570881.7717332
"12",10436854.5281342,25173572.2127469,8270449.17752514,13329379.1302402,8576784.94952383,23744335.48712,3186987.76043527,18801009.3779248,12516129.2147539,10942470.9676034,75583827.2933372
"13",11959575.6324543,21323084.3441769,10584892.2293712,10386888.0529953,8676335.14615579,26574775.9319677,1051771.43740536,20169049.1584711,8924628.05217889,19223040.6995402,37481155.6235672
"14",10810031.0801985,23153406.4542167,7298448.88447312,10995225.9962645,2737249.68640153,18538701.3362488,3177337.3401358,22266475.465273,6944851.34364805,5673700.84772156,27130244.4316787
"15",6280616.95462069,15524301.0746446,4359691.64932706,8982340.65366641,3510732.19485705,12944442.396405,1999401.68529957,6219566.26714576,3052177.94855038,6714213.24981191,11340016.66655
"16",3196208.45103976,19494266.8320106,3621775.88467447,7345103.09234441,4488308.13634856,5305644.22031068,1059478.82941298,5945504.96426942,1419228.31333754,3988044.26755565,11611939.3984518
"17",8404814.01446242,19367341.7306269,1274630.21793754,7491537.1250248,1549021.43407895,6639527.86430674,1243036.31989208,3154466.33435546,1562227.06139282,8264002.67759956,20704883.3227463
"18",2838437.93685097,13418950.6808379,1755076.61706534,7261949.49298463,1799985.04238922,2484787.17911031,2244159.10642885,2993709.05410146,949495.714327694,5544630.66470258,12774165.661123
"19",1497045.17844927,16081945.1578389,1465902.51378885,14293144.5985531,877836.326538091,2553380.56141084,2655367.71842137,2403443.8207635,404224.291677185,10065258.5139156,4678377.22129387
"20",2290224.54290659,23597463.1035859,825636.636066152,17607729.6623174,3460481.86766816,3435186.10225588,2588662.00339249,2212721.01167194,1055323.28609436,4285073.66941106,5511709.64323208
"21",1795055.90480354,11187137.1145652,2493391.78274784,16922549.2735311,2504378.66364553,583209.582465331,1373017.14379953,3545137.11388473,2718551.59468152,5089311.82724801,4625839.72728192
"22",3601189.71309196,11836176.7387184,9347838.55309403,17576468.3160529,2752643.82300093,4416162.39306088,7424809.58733461,4792278.32715147,4910416.81084401,4376852.67743169,19984008.6858899
"23",8987087.92909253,16499351.0511157,26576189.6364515,20956674.4501265,7874759.23807762,4895191.15504322,11219138.6038817,7228660.99321388,10222984.7799748,9056995.83774393,44321282.5432481
"24",21308567.1659153,19928409.5832677,29966824.3377333,43272713.5829332,13589987.8369084,18426674.7810694,20892310.7607392,12384981.7086206,11761422.9410168,9971750.22273744,43132917.1085476
"25",46536023.4762779,38389054.9851789,46419994.5599404,91936064.1504097,25871294.7497246,36664622.285964,26126219.3729739,18955875.8212412,25429539.5279394,19880032.4526774,51293296.6778762
"26",65412153.7933591,43438278.5121727,73404357.386577,94332084.9086697,37543442.0016866,47460994.5998969,28395651.2626064,15327122.2692972,21000482.6027416,29912358.9865187,71026314.4906266
"27",75108196.3618464,58338343.0431407,128504587.305076,117323997.659243,60717490.6735449,56002667.7032899,34847829.7430541,18535511.8702674,20774647.34903,22800075.9468136,66170476.2136658
"28",80726765.0616206,58260965.6366125,134695883.75043,83638932.3769315,53560709.4690889,63037966.6972761,34518824.3404922,19165666.5734306,15375855.2150702,19280503.3152483,72420992.5975266
"29",88084858.4177061,48421835.8485637,186347635.465478,88544502.4908344,35895292.871885,53980827.641405,31756943.076377,15441802.0312595,10984666.500004,20873243.407005,53279931.2986111
"30",80522009.3015195,42095741.3726301,195057742.820066,68237503.6765953,38110091.278733,40934867.7837044,30313221.8577284,16201083.1987304,8676669.9236765,13380823.9774001,48215677.409728
