"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"10",0,0,0,43952.0895261409,0,0,0,0,0,0,0
"11",0,0,182876.554664982,0,0,0,24665.7124807518,0,0,0,0
"12",0,91929.645569287,416719.185059423,0,24665.7124807518,46868.502487464,0,0,156104.764588205,99118.4850008379,0
"13",247324.961024945,192022.814914255,855807.787473184,43952.0895261409,100634.809579588,46704.3076558613,96692.5119437754,0,0,0,0
"14",0,254927.679288243,842949.50777168,0,78229.7153235677,131856.268578423,0,24665.7124807518,62075.2866924009,71794.5276401159,62491.336649952
"15",251697.234826478,183401.97812611,928839.563556302,155813.076389398,0,0,36876.9429199405,24665.7124807518,8957.17224084979,0,0
"16",146588.217440553,305845.104697227,1421913.97340962,21016.9384451376,121241.231987195,0,6275.89134125637,49331.4249615035,17914.3444816996,22301.6591251885,0
"17",169510.100252336,266126.983061555,840497.531619747,46891.9588919786,53564.002842816,109001.911779637,122254.780330421,24665.7124807518,0,0,0
"18",95778.5809234263,190874.667351048,2985003.65815138,109110.506244982,46704.3076558613,24665.7124807518,49489.5385030468,73997.1374422553,17914.3444816996,0,0
"19",0,228058.10728998,415259.675445177,131285.496068566,0,0,6275.89134125637,0,17914.3444816996,0,0
"20",110985.912917054,324706.833945328,563662.613021676,40464.9040549611,133009.976178255,77771.0123019477,42209.0180439847,36821.3425536835,17914.3444816996,0,63926.5211039602
"21",25930.620813098,293891.720956555,761659.687290244,64969.0279712785,24665.7124807518,31066.7046460863,6275.89134125637,0,8957.17224084979,0,0
"22",72799.123300562,149122.962319527,522212.5399771,161413.654948825,0,178317.32463191,49331.4249615035,0,8957.17224084979,0,21016.9384451376
"23",195864.973973757,169410.145957542,59314.4707229439,126545.564845159,24665.7124807518,24665.7124807518,55607.3163027599,145367.157578868,8957.17224084979,0,61532.9253365973
"24",55928.4084178939,78453.5067977521,99270.9789289427,162485.788613868,126150.2809913,96005.3261670681,35855.2861899685,49331.4249615035,0,31408.1699346405,0
"25",83645.8228193412,217014.484542188,182181.55008677,103423.631283761,104111.685816191,131258.56464116,102475.818790224,24665.7124807518,0,0,0
"26",55587.8561745699,248087.444229478,265513.989023572,19447.9656098235,126620.567422557,193790.443224841,117949.226968396,49331.4249615035,0,0,47361.0869822719
"27",138447.865749332,245518.707308406,266579.431041971,117530.660461168,77289.1424610539,149136.399074706,70348.3634066411,68617.8020068927,0,0,0
"28",17514.115370948,110241.626196023,377450.036381276,38895.931219647,151286.279903309,0,49331.4249615035,0,0,0,47361.0869822719
"29",98531.494057725,213584.636948711,154270.166225767,19447.9656098235,0,77451.31019597,55607.3163027599,121029.834761322,0,49733.4742123345,0
"30",64382.617858412,135783.044445322,110995.706163383,136047.146185042,0,266575.95601908,93572.8101433253,73997.1374422553,0,13319.0464219876,0
"31",118191.088561614,106592.852160409,103654.372803727,52785.5977152183,66699.589371027,146358.407858544,24665.7124807518,0,35203.7699698515,0,0
"32",236187.575841329,288340.719390374,177651.510245982,46891.9588919786,119460.861926008,243640.804938077,24665.7124807518,55607.3163027599,84294.6286852066,71794.5276401159,0
"33",94039.8532198839,162297.469104118,268316.247482923,28119.8852344665,52623.4299803021,137520.266305611,26271.173056422,0,0,13319.0464219876,36998.5687211276
"34",63269.7417775496,313181.573024835,297827.531882971,52785.5977152183,36487.7403561417,109384.164297653,74161.3322738579,24665.7124807518,123025.719196416,13319.0464219876,58015.5071662652
"35",120008.17803135,250792.40204788,129147.140732552,30114.5483739356,24665.7124807518,178840.605162255,66699.589371027,24665.7124807518,88877.3679712227,13319.0464219876,47361.0869822719
"36",17514.115370948,19411.4778694674,101227.41681661,136334.414744037,93088.913205745,127773.985437149,86147.5549808505,74045.7877627301,87821.9492265645,26638.0928439752,0
"37",0,196401.343756992,112625.491899291,21016.9384451376,24665.7124807518,49331.4249615035,66699.589371027,117265.51621458,88877.3679712227,31408.1699346405,47361.0869822719
"38",123394.2403364,306764.595754202,216445.275792632,42033.8768902752,53564.002842816,87002.9897825333,33568.7211276503,68666.4523273675,17914.3444816996,31408.1699346405,28119.8852344665
"39",47171.3507324199,80273.0287835116,29657.2353614719,67672.5957805241,11189.5737092168,71370.0201366131,150913.294113002,46891.9588919786,525596.220325028,31408.1699346405,0
"40",0,176357.411721351,73997.1374422553,40671.6679169792,108823.81685647,339556.070095218,45682.6509258894,24665.7124807518,392962.950231514,107543.556225909,99270.9789289427
