"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"10",0,0,0,199845.542782511,0,0,0,0,0,0,0
"11",0,0,1819514.8481724,0,0,0,112152.408497016,0,0,0,0
"12",0,406737.981569035,4006875.36068831,0,109132.17435198,496978.618166061,0,0,690677.490038412,438544.631340235,0
"13",2084181.13574894,1529948.07288498,7973231.61668295,189226.899595772,433262.9736939,201076.022340858,416290.202502559,0,0,0,0
"14",0,1381381.2843816,7750759.71648709,0,641130.125618423,809552.622549053,0,247650.208942977,623252.125052734,300773.031482556,627429.375517266
"15",1380591.94289911,953997.767791962,8159139.98416266,1005069.05526688,0,0,225115.705759409,240981.055537369,36514.2748033094,0,0
"16",880578.156026872,2025019.69646979,13298773.9529679,199803.408826102,724430.344782194,0,24894.9566022087,332334.469607661,71061.91044086,88465.3359800962,0
"17",654298.224970398,1604741.95476334,7443531.63749123,180999.98420586,495507.998378326,420740.459061898,471895.690258363,228176.707700101,0,0,0
"18",862164.718113541,716923.238908992,26514239.5504906,982173.967842973,175420.887330538,222031.970436467,445487.222734707,536708.096994375,67286.08907085,0,0
"19",0,1106927.8773806,3389125.11138222,1149960.17805982,0,0,22937.3892316676,0,65474.0928202019,0,0
"20",662869.857302196,2195500.28317261,4620523.6569042,344896.486768012,739087.744911371,508563.279856231,212456.739416115,130952.077153607,63710.8931404007,0,309628.782720917
"21",89736.6577671433,2294145.66735161,6019666.95501694,224834.702977018,85359.2598272826,107510.81753394,21718.6282400778,0,30997.5879764702,0,0
"22",245147.420933895,754076.549425142,4214499.03879486,726480.657898747,0,600474.707104163,166121.115914774,0,30162.8312835472,0,169616.506871565
"23",856291.030809013,555117.347858209,194359.620501042,831250.540416258,80823.7595095376,80823.7595095376,182212.144219727,589213.431918519,29350.5543634669,0,483226.150447864
"24",178329.029937809,250150.829573513,593834.680190465,958569.68112119,512072.615368611,514826.536419819,114325.413243011,376973.42062889,0,100145.679718186,0
"25",493467.875646511,673321.545768091,1354676.71655326,474780.658592958,323022.868147088,407250.326290114,548232.834372437,183410.813987239,0,0,0
"26",167825.488089294,1617090.51203722,1457634.84189215,140718.000334697,382280.591341738,585073.394791723,356100.917501865,252939.947710149,0,0,142988.020877759
"27",599031.819309101,1309536.77345921,1421511.18366349,617375.530700798,227060.027483997,438132.883798403,292901.117765236,201585.365207377,0,0,0
"28",50067.3502071232,610577.564400585,2388140.9164251,266482.109632338,432479.916742826,0,141023.03641673,0,0,0,135390.459518429
"29",417823.016087054,1284296.87157889,429133.631687406,129652.909107402,0,215446.46535678,154682.983607286,361050.487921394,0,138343.705249773,0
"30",174270.324418948,647270.277445859,300442.236827678,803103.850377492,0,1084612.66943821,607018.55107278,200294.824551786,0,36051.8819849065,0
"31",311303.31422623,672859.79371089,273015.082444392,333205.329153955,372716.75593052,557296.38942636,64966.9796298258,0,222221.292700881,0,0
"32",912876.538558346,1342724.6042976,455315.168943974,120182.59881637,365469.840567011,624443.63185218,63217.4363716164,253274.28321535,342055.24226643,440993.350648821,0
"33",234530.517324216,783488.237112672,742370.369906743,70129.535567401,131240.105488014,342968.412804791,157023.396647674,0,0,79608.2422660338,221141.283612141
"34",278940.544197234,1720967.21097185,1061858.92255239,211698.305017829,116908.939045508,265452.045129162,251205.952096418,59858.4252540101,298557.190374541,77464.4137496394,337421.847528337
"35",283391.401137859,1221991.85185634,402782.138796486,71113.5207476781,58246.453988809,422320.299405217,296134.575768721,58246.453988809,502995.957061191,75378.3179576072,111840.084729991
"36",40244.6575210559,86759.0831382317,469874.646429106,471588.744044472,354954.13749371,293604.339991287,332848.08988269,249458.544894698,201800.90142134,146696.800326449,0
"37",0,717925.587539556,292845.588779703,46993.0556839403,55151.5722957355,264353.690122447,280399.686956282,339378.322755821,476269.64373922,70227.4445215733,105897.545621102
"38",268474.675142203,1196977.70392429,504931.647845668,91455.0907102187,116541.730175869,253160.089440354,136900.628062973,358055.649297344,66194.9911325954,68336.2383610889,61181.7620723454
"39",99869.0578383743,388748.21659074,62788.9621063046,216349.813771799,23690.0611621556,151101.390108184,565780.194796466,99277.5420255056,1402049.8201692,66495.961872983,0
"40",0,834624.927340035,152444.501193487,164696.283422961,402383.574119954,896961.331198912,225551.450927979,50814.8337311624,1065278.11933474,259876.586959773,310964.972436029
"41",247970.789982382,174132.770272457,269256.371915513,203001.207456141,49446.4039491726,424020.793891881,276849.303436223,98892.8078983451,319307.139098339,143923.72479828,219887.51398713
"42",149276.958220659,627235.777436178,368252.928872367,392210.304872784,0,259656.97991609,832378.562443402,0,684336.161976726,104260.525153513,0
"43",122782.413738457,577855.851658754,226699.010736067,123320.655366501,580975.855444179,646694.677655248,142427.581203627,112207.168437759,710665.964978821,120207.147276105,284280.29163373
"44",32349.0748419247,598522.556999982,119017.637855915,55561.8315237594,0,511692.171621354,79345.0919039431,129935.450615064,530590.485150952,265213.115099519,120275.657433101
"45",275622.005121458,383317.579130456,11279.5890649054,0,23608.4422288717,275380.668134717,198748.108097131,202320.602529648,464624.400787255,136144.719488596,0
"46",278942.262467868,598689.03723634,133856.42988476,401420.977998639,43137.5753065388,207718.344211105,131228.060349488,265735.260311853,0,54929.3800798748,272902.286561201
"47",189841.560191833,301799.608548709,73644.0945891846,226921.074260822,0,126196.286020368,202491.402475413,0,308277.517806272,176038.901463147,0
