"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"10",0,0,0,0,0,0,0,0,0,0,0
"11",0,45682.6509258894,0,0,16443.8083205012,21016.9384451376,0,0,0,0,0
"12",0,154770.56952208,190664.775968428,25307.8967110199,0,19447.9656098235,0,0,0,0,0
"13",55768.9048671942,71370.0201366131,201280.623398331,388946.744197014,84456.9563443492,0,0,0,6275.89134125637,65896.8590831918,0
"14",53908.030109031,105487.794881051,49428.7256024532,301092.373806171,33009.2424421895,83508.2750950896,43952.0895261409,0,0,0,31066.7046460863
"15",146248.075881752,45682.6509258894,198821.349698327,229678.162961793,97397.9415906608,43952.0895261409,0,16565.4341216883,0,0,0
"16",239158.894164331,107558.908524124,169222.494721425,292260.718962635,76745.8805490846,41255.4717626775,0,0,59197.7099538042,102554.875560995,0
"17",179808.978207898,136673.692812301,187225.893315434,458691.43821043,101289.967228649,43952.0895261409,46704.3076558613,6275.89134125637,51277.4377804977,0,0
"18",61880.601376848,176982.220837164,155494.938043721,319236.916246605,148838.705447038,80196.5782799083,8367.85512167515,19447.9656098235,0,0,0
"19",24665.7124807518,93283.5144876445,244696.516892381,224315.218051067,65896.8590831918,79202.7217330648,13135.586528211,0,0,0,0
"20",96869.7381112195,93445.1030520788,421928.939377701,217958.706178738,65775.2332820047,45682.6509258894,0,63400.0551359644,0,0,0
"21",63813.0036895189,43952.0895261409,79027.5805793553,225269.227668759,75213.3954541267,0,0,0,29598.8549769021,0,0
"22",93760.4613794426,98662.849923007,86247.2881378239,289570.356240376,101786.895502071,0,0,0,59197.7099538042,0,0
"23",67635.5288696861,86152.767515187,160390.376541504,132669.423934931,115909.388531343,85673.2143562206,0,0,118395.419907608,38895.931219647,46704.3076558613
"24",88988.3861942929,42179.8278516998,123065.850673195,248938.76692074,52980.1989971177,36244.4887537674,24665.7124807518,0,0,62467.0114897145,0
"25",235522.282708835,207018.407444906,107596.265020202,318322.290221678,190271.40337716,29384.7935668128,59422.891437145,19447.9656098235,88796.5649307063,55461.3653413353,43952.0895261409
"26",16476.2418674844,256349.83240641,215314.155841592,151896.030586594,90645.9721133291,111860.986863257,73997.1374422553,103266.560249085,88796.5649307063,49331.4249615035,0
"27",16476.2418674844,165310.313950668,101898.096234585,274906.744229917,236338.044332512,88640.8839051868,24665.7124807518,64969.0279712785,59197.7099538042,0,0
"28",16476.2418674844,249415.597978442,95593.0147010437,63813.0036895189,154141.590378798,204060.294208891,158252.542458923,19447.9656098235,59197.7099538042,0,0
"29",38895.931219647,147994.274884511,213318.276444111,127028.766778161,53807.2544451902,89850.1918712761,109335.513977178,43887.4541003672,59197.7099538042,88227.3561811505,0
"30",77289.1424610539,0,102415.874645353,149103.502191337,101119.691106987,148477.303066368,0,191359.954297785,130976.392782406,0,29598.8549769021
"31",94005.7400785033,238976.45546255,126856.405642764,112627.518995977,152859.306931996,42958.2329792974,112893.068661902,0,80876.2927573999,13135.586528211,0
"32",83690.1346263884,120701.445098117,202791.215849075,118700.295249251,97828.8444291524,110679.479080296,178883.753363153,63335.4197101907,88796.5649307063,55680.2917834722,46868.502487464
"33",39677.8113701358,49331.4249615035,119303.964642476,65759.0165085131,119801.414169332,183939.911669647,191946.364410652,162190.612150218,59197.7099538042,141499.457101117,21016.9384451376
"34",191793.173818204,71849.5732955795,89602.9439925771,146381.864263058,104104.735770409,98127.6963977837,246610.211998488,165360.354280299,88796.5649307063,49331.4249615035,0
"35",67635.5288696861,214810.625024677,86860.2821758071,125881.08255134,48010.9162629003,130674.760795462,93283.5144876445,0,19447.9656098235,0,0
"36",35855.2861899685,120874.501238091,11189.5737092168,208307.235518153,46868.502487464,86910.3225054384,33033.5676024269,88415.0074172678,129923.113344125,43396.0858635711,0
"37",0,86196.2053013253,119358.696253011,85838.6254458351,36821.3425536835,167086.050648,131887.543784442,76624.2547478975,141419.994911008,0,92649.6703123149
"38",49331.4249615035,89096.9806596386,201358.81141338,35816.3659335887,32887.6166410024,28119.8852344665,216076.92336618,244109.238023792,285081.147918559,49331.4249615035,198861.833715008
"39",38855.389285918,114206.627314723,46868.502487464,61552.3854647872,36821.3425536835,68617.8020068927,71534.2149682157,233881.724401965,160575.247759308,0,29598.8549769021
"40",60520.9986707203,24665.7124807518,0,52623.4299803021,0,133384.583645911,120969.021860728,243114.165218936,173156.220634106,0,143411.414695779
"41",41141.9543482362,173206.434714882,24714.3628012266,53028.8493175925,126907.835981552,56093.8195075084,70153.7621247417,99319.6292494176,102554.875560995,0,50615.7934220397
"42",63813.0036895189,47361.0869822719,87205.6994511786,99515.3888722807,32887.6166410024,132592.973431328,106033.373474948,59912.8696647846,46164.2890985904,35028.230741896,149687.306037036
"43",57699.2800831787,118451.367776155,28119.8852344665,43658.7975941354,36821.3425536835,119339.236124821,191650.987464911,102621.769751648,88796.5649307063,118025.677472,105467.813499427
"44",165582.524077135,86201.4178356619,0,29598.8549769021,43952.0895261409,185625.297771811,142882.51621176,100505.480810992,176104.430054882,140842.677774707,59197.7099538042
"45",0,108404.207842374,45585.3502849396,14059.9426172333,6275.89134125637,101776.470433398,56239.770468933,102968.403285032,80214.6483989418,8367.85512167515,63050.8153354128
"46",119751.605507893,62831.8888932759,53376.3516066987,27351.2101709638,36821.3425536835,112173.043918874,166603.022466143,74155.2509837986,59197.7099538042,266396.99234019,129448.772719496
"47",114756.839272475,94722.1739645437,153438.245745647,100012.896316184,36244.4887537674,231784.895589499,285975.271308429,251901.976856996,119863.269576793,16784.3605638252,71778.6828286019
"48",159693.51861775,19447.9656098235,79494.623655914,27935.0140166621,16443.8083205012,24665.7124807518,247553.680713411,236312.850416551,101377.537805504,0,46868.502487464
"49",124157.644948518,164817.72945586,11189.5737092168,10508.4692225688,0,24665.7124807518,57087.6760543519,78302.69080428,0,35028.230741896,42033.8768902752
"50",49331.4249615035,74045.7877627301,72488.9775075348,14799.4274884511,0,118588.804931496,69399.6821573814,152904.48222958,74726.8922493781,15470.8019110041,53144.3938287203
"51",31066.7046460863,21016.9384451376,36244.4887537674,50881.2851709168,48796.2714362801,62248.0850475777,49489.5385030468,147866.567793264,0,0,115082.333083271
"52",116825.057063138,36821.3425536835,0,105246.859960604,0,101213.516725046,282083.24567044,39954.0756899751,59197.7099538042,35028.230741896,0
"53",30637.5393190403,47361.0869822719,35874.7463181585,0,16443.8083205012,121820.402469038,80394.6545846988,174785.832618869,128144.94413077,93737.0049749279,93572.8101433253
"54",100057.492443286,24665.7124807518,124854.966208657,74234.3077545702,89444.7725339856,52785.5977152183,140210.223608534,173868.947829062,69188.8641019904,0,0
"55",50040.32963128,99653.2314469595,0,21016.9384451376,26952.27754307,90656.3971820023,96193.8461589081,73084.9439333518,52623.4299803021,137583.106302891,93572.8101433253
"56",54366.7331306511,92453.8527724036,51549.8795751569,171024.120339295,53605.7031175087,166835.848999844,60517.5236478292,190630.199490662,0,0,16565.4341216883
"57",15012.098889384,62831.8888932759,88796.5649307063,30114.5483739356,16565.4341216883,62491.336649952,68937.5041128703,78427.7916283582,30114.5483739356,98662.849923007,42179.8278516998
"58",111749.206960261,0,0,90791.2280701754,72488.9775075348,0,143709.571659832,6275.89134125637,0,0,115252.609204933
"59",0,36821.3425536835,80386.546197953,93737.0049749279,0,36244.4887537674,0,61487.0550344353,128941.593128545,42179.8278516998,31066.7046460863
"60",105246.859960604,74066.6379000765,0,83136.447645746,36244.4887537674,0,87904.1790522819,46868.502487464,95743.8306945157,0,58745.2619733881
"61",24665.7124807518,76983.0508613995,15470.8019110041,46868.502487464,52980.1989971177,59201.3587278398,145761.572677004,46704.3076558613,51277.4377804977,98979.0770060936,0
"62",0,77475.6353562075,53144.3938287203,191870.782662771,36821.3425536835,26271.173056422,16565.4341216883,174129.922048181,21016.9384451376,42179.8278516998,143554.93314118
"63",19447.9656098235,55728.942103947,0,0,52688.2970742686,80404.3846487938,21016.9384451376,46868.502487464,52083.6430912239,0,0
"64",0,0,36244.4887537674,51277.4377804977,6275.89134125637,105905.666383701,66054.9726247351,59912.8696647846,0,49331.4249615035,42179.8278516998
"65",46868.502487464,15470.8019110041,35874.7463181585,0,36244.4887537674,0,16565.4341216883,84211.0984748067,95743.8306945157,102554.875560995,0
"66",0,45585.3502849396,0,0,10508.4692225688,0,74422.8277464103,93898.5935393623,0,0,0
"67",36821.3425536835,46868.502487464,0,0,0,116475.122258008,43952.0895261409,62133.4092921727,21016.9384451376,42179.8278516998,118018.727426217
"68",43952.0895261409,15470.8019110041,0,0,0,0,110177.338272538,47361.0869822719,0,49331.4249615035,0
"69",16476.2418674844,0,67658.6956889598,46868.502487464,36821.3425536835,0,42958.2329792974,76818.8560297969,0,0,0
"70",34918.7675208276,0,0,14799.4274884511,0,0,43952.0895261409,78427.7916283582,52623.4299803021,15470.8019110041,0
"71",15470.8019110041,0,11189.5737092168,0,0,0,0,62133.4092921727,0,0,0
"72",0,0,36244.4887537674,0,0,0,0,78427.7916283582,0,15470.8019110041,0
"73",43952.0895261409,15470.8019110041,46868.502487464,0,0,0,125486.551619108,0,0,0,0
"74",0,0,0,0,0,0,16565.4341216883,78427.7916283582,0,0,46704.3076558613
"75",30114.5483739356,36821.3425536835,0,0,0,21016.9384451376,16565.4341216883,0,30114.5483739356,0,0
"76",0,43952.0895261409,0,0,0,0,16565.4341216883,28119.8852344665,0,35028.230741896,0
"77",0,30114.5483739356,0,6275.89134125637,0,0,0,0,31066.7046460863,109207.806885932,0
"78",8367.85512167515,0,0,0,0,0,0,0,0,98979.0770060936,74066.6379000765
"79",0,0,0,0,0,43952.0895261409,0,0,0,0,0
"80",0,46868.502487464,0,0,0,0,0,0,0,35028.230741896,46868.502487464
"81",46704.3076558613,36821.3425536835,0,0,0,0,93441.6280291877,0,0,0,0
"82",0,46868.502487464,15470.8019110041,0,30114.5483739356,0,0,0,0,0,0
"83",31066.7046460863,0,53376.3516066987,0,30114.5483739356,0,0,0,0,45171.8225609034,0
"84",0,0,0,51277.4377804977,0,0,0,0,0,0,21016.9384451376
"85",0,36821.3425536835,0,0,0,28119.8852344665,0,0,0,35028.230741896,30114.5483739356
"86",0,0,30114.5483739356,0,0,0,0,46704.3076558613,0,98979.0770060936,0
"87",0,0,0,0,0,0,43952.0895261409,0,95251.2461997078,0,0
"88",0,0,61532.9253365973,0,16443.8083205012,0,0,0,0,0,0
"89",11189.5737092168,0,61532.9253365973,0,0,0,0,0,0,0,0
"90",76892.700266232,0,0,0,0,0,0,0,0,49331.4249615035,0
"91",0,0,0,0,46891.9588919786,0,0,0,0,0,0
"92",0,0,0,51277.4377804977,0,43952.0895261409,43952.0895261409,0,0,0,0
"93",0,0,114909.276943296,74234.3077545702,0,43952.0895261409,0,0,0,0,0
"94",0,90656.3971820023,79647.5246631207,14059.9426172333,0,46704.3076558613,0,0,0,0,0
"95",0,0,0,0,0,0,21016.9384451376,0,0,0,0
"96",0,21016.9384451376,0,0,0,0,0,0,0,0,0
"97",15012.098889384,0,0,0,0,0,43952.0895261409,0,0,0,0
"98",0,0,0,10508.4692225688,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,49331.4249615035,0
"109",0,0,0,0,0,0,0,0,0,0,0
