"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"10",0,0,0,0,0,0,0,0,0,0,0
"11",0,207714.224021101,0,0,74768.2723313441,95561.8155240848,0,0,0,0,0
"12",0,956364.563933678,843586.480220476,203422.579020348,0,86046.5220852147,0,0,0,0,0
"13",240101.826230451,588094.209197949,983510.572675752,2427808.40175228,743311.157587953,0,0,0,27019.5905020529,283705.700271555,0
"14",225840.07681508,586527.554119864,207074.663354458,1560036.96837415,235210.306193226,838444.938166903,441290.482207773,0,0,0,130149.570471657
"15",1067868.12419435,305883.74463012,1160831.12064337,1016340.34801565,557142.70730993,429406.648413165,0,67529.6619838203,0,0,0
"16",1672891.45862599,662763.196385051,671265.073458715,1820571.00019314,396205.34237541,236421.974826986,0,0,398801.363529193,974966.633808851,0
"17",930989.412783474,960998.017817691,722680.06143839,2229834.19391963,569575.668395769,406590.447871355,180275.662348211,58056.7954503215,474355.522516581,0,0
"18",478278.874008716,976269.401453182,584037.348503835,1521677.85951045,936317.475868629,721901.072658889,75324.4554537917,175063.668997984,0,0,0
"19",90149.2739570193,340936.476486648,894327.028050532,1134613.82072821,409334.659663634,508749.016573331,115057.655835894,0,0,0,0
"20",344509.258468663,428926.526998986,1806185.36859465,1187968.70208038,233924.208792325,389369.162699325,0,540380.77657598,0,0,0
"21",220834.114017329,152102.552591641,273486.354365755,1074054.39532184,260286.815962483,0,0,0,245487.492546512,0,0
"22",756690.703708402,332242.231829547,290433.446049025,1264366.84556726,420669.813951262,0,0,0,338549.250059652,0,0
"23",221625.778048366,282302.429664758,807158.851282934,434726.61179982,455617.389316535,672803.013076129,0,0,929774.794220368,127452.851534271,366775.066753597
"24",479465.70736768,212483.914824295,940426.000811481,1445612.88063582,376908.738405897,276967.651251009,188486.710314445,0,0,477350.958666169,0
"25",1458232.45439539,642307.145522146,692978.514353789,1272957.57660829,733909.744661206,218501.245854621,441860.371820484,144612.372566862,532021.053093061,172077.602657794,326821.636420203
"26",119215.750127206,773946.662200943,697236.681521057,718126.201169373,412853.433554618,523044.40371467,535414.830541774,497096.940714092,268086.015106406,356943.220361183,0
"27",116005.302095054,860303.143720143,413233.962439083,807620.978998893,1044979.49863917,537867.681376768,173665.41780175,371199.771252012,416797.0027242,0,0
"28",112881.310563459,1117922.4600326,339407.390862534,182421.317652805,793442.451650497,941208.31723961,1084212.92527979,133241.054816169,169227.643700076,0,0
"29",259305.818214804,411675.972120179,953086.663894088,535529.308889918,285569.83085483,416827.245590603,495789.166988609,122081.819345698,164670.388848072,437072.561990699,0
