"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",13.5,"day",1,1
"2",14.5,"day",0,3
"3",15,"day",1,1
"4",15.5,"day",0,2
"5",16,"day",1,7
"6",16.5,"day",0,2
"7",17,"day",0,2
"8",17.5,"day",1,5
"9",18,"day",1,2
"10",18.5,"day",0,2
"11",19,"day",0,2
"12",19.5,"day",0,7
"13",20,"day",1,4
"14",20.5,"day",0,5
"15",21,"day",1,8
"16",21.5,"day",0,8
"17",22,"day",0,5
"18",22.5,"day",1,4
"19",23,"day",1,8
"20",23.5,"day",0,10
"21",24,"day",2,7
"22",24.5,"day",2,7
"23",25,"day",1,3
"24",25.5,"day",2,6
"25",26,"day",1,6
"26",26.5,"day",1,6
"27",27,"day",1,8
"28",27.5,"day",1,2
"29",28,"day",1,8
"30",28.5,"day",2,0
"31",29,"day",2,9
"32",29.5,"day",4,2
"33",30,"day",2,5
"34",30.5,"day",1,6
"35",31,"day",0,5
"36",31.5,"day",3,3
"37",32,"day",4,8
"38",32.5,"day",2,2
"39",33,"day",1,5
"40",33.5,"day",1,1
"41",34,"day",1,8
"42",34.5,"day",2,6
"43",35,"day",1,5
"44",35.5,"day",0,4
"45",36,"day",1,4
"46",36.5,"day",0,5
"47",37,"day",1,3
"48",37.5,"day",1,1
"49",38,"day",2,3
"50",38.5,"day",1,0
"51",39,"day",1,3
"52",39.5,"day",3,3
"53",40,"day",0,8
"54",40.5,"day",1,3
"55",41,"day",0,6
"56",41.5,"day",1,1
"57",42,"day",1,3
"58",42.5,"day",2,3
"59",43,"day",4,2
"60",43.5,"day",0,1
"61",44,"day",1,1
"62",44.5,"day",0,6
"63",45,"day",0,2
"64",46,"day",0,2
"65",46.5,"day",0,1
"66",47.5,"day",2,3
"67",48,"day",2,1
"68",48.5,"day",0,2
"69",49,"day",0,2
"70",49.5,"day",0,1
"71",50,"day",2,2
"72",50.5,"day",0,2
"73",51,"day",0,4
"74",51.5,"day",0,2
"75",52,"day",1,3
"76",52.5,"day",0,1
"77",53.5,"day",0,2
"78",54,"day",0,2
"79",54.5,"day",1,1
"80",55,"day",1,1
"81",55.5,"day",0,1
"82",56,"day",3,1
"83",57.5,"day",0,1
"84",59,"day",0,2
"85",59.5,"day",0,1
"86",60,"day",0,1
"87",60.5,"day",1,0
"88",61,"day",0,1
"89",63,"day",1,0
"90",63.5,"day",1,1
"91",65,"day",1,0
"92",66,"day",1,0
"93",68.5,"day",1,0
"94",74.5,"day",0,1
"95",78,"day",1,0
"96",79,"day",0,1
"97",83,"day",2,0
"98",11,"night",0,1
"99",12,"night",0,1
"100",13,"night",1,0
"101",14,"night",0,1
"102",15,"night",0,4
"103",15.5,"night",1,2
"104",16,"night",4,14
"105",16.5,"night",0,4
"106",17,"night",2,24
"107",17.5,"night",5,4
"108",18,"night",6,21
"109",18.5,"night",2,5
"110",19,"night",8,30
"111",19.5,"night",4,6
"112",20,"night",9,14
"113",20.5,"night",3,7
"114",21,"night",6,11
"115",21.5,"night",4,5
"116",22,"night",7,9
"117",22.5,"night",7,9
"118",23,"night",4,15
"119",23.5,"night",6,8
"120",24,"night",5,8
"121",24.5,"night",7,7
"122",25,"night",5,5
"123",25.5,"night",0,7
"124",26,"night",4,3
"125",26.5,"night",2,5
"126",27,"night",3,6
"127",27.5,"night",3,6
"128",28,"night",5,10
"129",28.5,"night",2,3
"130",29,"night",3,6
"131",29.5,"night",3,2
"132",30,"night",5,8
"133",30.5,"night",1,5
"134",31,"night",2,4
"135",31.5,"night",3,1
"136",32,"night",0,4
"137",32.5,"night",3,1
"138",33,"night",0,3
"139",33.5,"night",1,1
"140",34,"night",4,2
"141",34.5,"night",0,3
"142",35,"night",2,6
"143",35.5,"night",1,0
"144",36,"night",1,3
"145",36.5,"night",1,1
"146",37,"night",2,2
"147",37.5,"night",3,0
"148",38,"night",2,2
"149",38.5,"night",0,1
"150",39.5,"night",1,0
"151",40,"night",0,1
"152",40.5,"night",0,1
"153",41,"night",1,3
"154",41.5,"night",1,1
"155",43,"night",1,2
"156",46,"night",1,1
"157",47,"night",1,1
"158",47.5,"night",2,1
"159",48.5,"night",1,0
"160",49,"night",0,2
"161",49.5,"night",0,1
"162",50,"night",1,1
"163",50.5,"night",1,0
"164",51,"night",0,2
"165",51.5,"night",2,1
"166",52,"night",0,1
"167",52.5,"night",1,0
"168",54.5,"night",0,1
"169",55,"night",0,1
"170",56.5,"night",1,0
"171",57,"night",0,2
"172",59,"night",0,1
"173",60.5,"night",1,0
"174",61,"night",0,1
"175",61.5,"night",0,1
"176",64.5,"night",0,1
"177",68,"night",1,0
"178",73.5,"night",1,0
"179",78.5,"night",1,0
