"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",8.5,"day",0,1
"2",10,"day",0,1
"3",10.5,"day",0,1
"4",11,"day",0,1
"5",12,"day",1,8
"6",12.5,"day",0,1
"7",13,"day",2,29
"8",13.5,"day",0,5
"9",14,"day",15,146
"10",14.5,"day",1,5
"11",15,"day",28,389
"12",15.5,"day",0,4
"13",16,"day",30,377
"14",16.5,"day",0,3
"15",17,"day",22,377
"16",17.5,"day",0,2
"17",18,"day",31,200
"18",18.5,"day",1,4
"19",19,"day",28,249
"20",19.5,"day",0,4
"21",20,"day",15,117
"22",20.5,"day",0,3
"23",21,"day",10,78
"24",21.5,"day",6,28
"25",22,"day",8,127
"26",22.5,"day",3,51
"27",23,"day",28,285
"28",23.5,"day",7,76
"29",24,"day",53,515
"30",24.5,"day",21,123
"31",25,"day",78,707
"32",25.5,"day",16,100
"33",26,"day",84,671
"34",26.5,"day",19,119
"35",27,"day",79,555
"36",27.5,"day",20,119
"37",28,"day",64,433
"38",28.5,"day",12,81
"39",29,"day",28,225
"40",29.5,"day",18,77
"41",30,"day",18,141
"42",30.5,"day",3,51
"43",31,"day",12,56
"44",31.5,"day",2,24
"45",32,"day",7,32
"46",32.5,"day",1,8
"47",33,"day",4,16
"48",33.5,"day",0,3
"49",34,"day",1,8
"50",35,"day",2,4
"51",11,"night",0,4
"52",12,"night",0,4
"53",13,"night",7,20
"54",14,"night",66,119
"55",15,"night",135,315
"56",15.5,"night",0,1
"57",16,"night",168,418
"58",17,"night",190,318
"59",17.5,"night",1,1
"60",18,"night",89,165
"61",18.5,"night",0,1
"62",19,"night",25,88
"63",19.5,"night",3,6
"64",20,"night",50,58
"65",20.5,"night",6,11
"66",21,"night",32,53
"67",21.5,"night",8,37
"68",22,"night",57,140
"69",22.5,"night",24,57
"70",23,"night",115,246
"71",23.5,"night",44,110
"72",24,"night",160,354
"73",24.5,"night",70,167
"74",25,"night",227,456
"75",25.5,"night",63,153
"76",26,"night",244,437
"77",26.5,"night",73,169
"78",27,"night",188,354
"79",27.5,"night",54,146
"80",28,"night",140,235
"81",28.5,"night",48,93
"82",29,"night",85,155
"83",29.5,"night",41,96
"84",30,"night",56,108
"85",30.5,"night",22,52
"86",31,"night",40,52
"87",31.5,"night",8,32
"88",32,"night",20,31
"89",32.5,"night",7,13
"90",33,"night",8,20
"91",33.5,"night",2,8
"92",34,"night",1,0
"93",34.5,"night",1,2
"94",35,"night",1,4
"95",35.5,"night",1,1
"96",37,"night",0,1
"97",38,"night",0,1
