"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",15,"day",1,4
"2",16,"day",3,10
"3",16.5,"day",0,2
"4",17,"day",1,12
"5",17.5,"day",1,2
"6",18,"day",5,9
"7",18.5,"day",0,7
"8",19,"day",13,21
"9",19.5,"day",3,7
"10",20,"day",38,87
"11",20.5,"day",3,15
"12",21,"day",47,180
"13",21.5,"day",7,18
"14",22,"day",86,211
"15",22.5,"day",4,39
"16",23,"day",87,182
"17",23.5,"day",31,48
"18",24,"day",82,134
"19",24.5,"day",25,61
"20",25,"day",53,150
"21",25.5,"day",21,54
"22",26,"day",66,132
"23",26.5,"day",19,35
"24",27,"day",48,118
"25",27.5,"day",12,11
"26",28,"day",53,119
"27",28.5,"day",13,16
"28",29,"day",70,115
"29",29.5,"day",8,12
"30",30,"day",76,98
"31",30.5,"day",8,13
"32",31,"day",64,118
"33",31.5,"day",8,16
"34",32,"day",46,116
"35",32.5,"day",14,17
"36",33,"day",33,81
"37",33.5,"day",8,9
"38",34,"day",29,41
"39",34.5,"day",9,11
"40",35,"day",32,46
"41",35.5,"day",8,11
"42",36,"day",14,32
"43",36.5,"day",5,0
"44",37,"day",9,11
"45",37.5,"day",5,3
"46",38,"day",7,19
"47",38.5,"day",3,7
"48",39,"day",3,7
"49",39.5,"day",0,5
"50",40,"day",3,10
"51",40.5,"day",5,1
"52",41,"day",6,6
"53",41.5,"day",2,2
"54",42,"day",4,3
"55",42.5,"day",1,2
"56",43,"day",6,6
"57",43.5,"day",0,1
"58",44,"day",2,2
"59",44.5,"day",2,0
"60",45,"day",0,3
"61",45.5,"day",2,3
"62",46,"day",0,1
"63",47,"day",1,2
"64",48,"day",3,2
"65",48.5,"day",0,2
"66",51,"day",2,0
"67",52.5,"day",0,2
"68",55.5,"day",0,1
"69",17,"night",3,3
"70",17.5,"night",0,1
"71",18,"night",5,9
"72",18.5,"night",0,1
"73",19,"night",20,25
"74",20,"night",38,32
"75",20.5,"night",0,3
"76",21,"night",61,72
"77",21.5,"night",4,8
"78",22,"night",68,76
"79",22.5,"night",14,18
"80",23,"night",90,79
"81",23.5,"night",30,15
"82",24,"night",80,71
"83",24.5,"night",45,46
"84",25,"night",95,67
"85",25.5,"night",26,38
"86",26,"night",82,87
"87",26.5,"night",27,17
"88",27,"night",74,79
"89",27.5,"night",13,15
"90",28,"night",86,72
"91",28.5,"night",11,11
"92",29,"night",82,71
"93",29.5,"night",4,9
"94",30,"night",71,83
"95",30.5,"night",8,7
"96",31,"night",61,68
"97",31.5,"night",12,11
"98",32,"night",69,88
"99",32.5,"night",11,9
"100",33,"night",56,65
"101",33.5,"night",14,11
"102",34,"night",37,34
"103",34.5,"night",11,1
"104",35,"night",35,31
"105",35.5,"night",11,6
"106",36,"night",11,12
"107",36.5,"night",3,7
"108",37,"night",13,11
"109",37.5,"night",3,3
"110",38,"night",14,7
"111",39,"night",0,4
"112",39.5,"night",3,6
"113",40,"night",3,5
"114",40.5,"night",3,1
"115",41,"night",6,2
"116",41.5,"night",2,2
"117",42,"night",2,2
"118",42.5,"night",1,3
"119",43,"night",1,1
"120",43.5,"night",1,3
"121",44,"night",2,3
"122",44.5,"night",0,1
"123",45,"night",1,1
"124",45.5,"night",1,2
"125",46.5,"night",1,1
"126",47,"night",0,1
"127",48.5,"night",0,1
"128",51,"night",0,1
"129",51.5,"night",0,1
