"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,61166.6666666667,0,0,0,0,0,0,0,0
"5",52844.1558441558,87190.4761904762,0,45875,665310.657596372,387387.755102041,431073.129251701,167445.578231293,140550,350618.671348827,96357.1428571429
"6",397178.896103896,161089.285714286,91795.9183673469,107607.709750567,2179539.68253968,297292.517006803,677901.360544218,611617.346938776,705645.238095238,124640.161068574,58128.5714285714
"7",446354.112554113,194565.476190476,106850.340136054,0,1895625.85034014,431424.036281179,431045.918367347,154367.346938776,324130.952380952,47207.0936751809,122914.285714286
"8",82320.3463203463,0,170323.80952381,0,495755.102040816,45897.9591836735,292539.965986395,0,145321.428571429,68113.3921636114,0
"9",0,0,0,0,45714.2857142857,45714.2857142857,0,0,0,0,53547.619047619
"10",0,0,0,0,0,0,48440.4761904762,0,0,0,0
"11",193440.692640693,0,121904.761904762,51507.9365079365,0,117452.380952381,92071.4285714286,0,0,0,53547.619047619
"12",98017.8571428571,0,113095.238095238,72079.3650793651,189333.333333333,201452.380952381,45897.9591836735,45875,72660.7142857143,77433.0673933936,169804.761904762
"13",496119.047619048,193117.857142857,305884.353741497,240663.832199546,164850.340136054,358449.546485261,66469.387755102,0,0,42316.3632054978,431471.428571429
"14",217763.203463203,186041.666666667,127176.870748299,174775.510204082,43020.4081632653,601880.952380952,94095.2380952381,66928.5714285714,27523.8095238095,371296.700764906,555519.047619048
"15",648748.917748918,639032.142857143,459834.013605442,223183.673469388,259986.394557823,513296.768707483,73238.0952380952,0,161136.904761905,225999.500539779,449085.714285714
"16",295952.380952381,358361.904761905,371171.428571429,385972.789115646,181040.816326531,1317455.49886621,45714.2857142857,121517.006802721,217833.333333333,221279.315928749,1019261.9047619
"17",472190.476190476,823898.809523809,632119.047619048,325795.918367347,304380.952380952,1090412.6984127,90095.2380952381,201684.523809524,306095.238095238,157510.907487131,504261.904761905
"18",486904.761904762,770184.523809524,359000,241428.571428571,262000,1470857.14285714,243481.292517007,348000,601150.793650794,374694.499025765,1282785.71428571
"19",617606.060606061,841035.714285714,575000,396952.380952381,332462.585034014,1239060.09070295,493404.761904762,348351.19047619,469341.26984127,895108.627249628,479571.428571429
"20",685942.857142857,774696.428571429,342190.476190476,626730.158730159,158309.523809524,555210.884353741,694867.346938776,632785.714285714,348309.523809524,297243.065155285,1165504.76190476
"21",339690.476190476,531055.952380952,887661.904761905,231671.201814059,170619.047619048,563755.102040816,816263.605442177,537452.380952381,399603.174603175,22235.6815917778,444061.904761905
"22",295952.380952381,1540632.14285714,1299409.52380952,387850.340136054,152326.530612245,267397.959183673,1261777.21088435,188044.217687075,923071.428571429,68341.6612359625,779504.761904762
"23",364990.476190476,1022096.42857143,1646842.85714286,529537.414965986,336548.752834467,381237.811791383,1951373.29931973,230952.380952381,819904.761904762,162359.657437761,930352.380952381
"24",357606.060606061,687511.904761905,1559833.33333333,892345.804988662,681596.371882086,779913.265306122,2516282.31292517,413719.387755102,1043728.57142857,652437.613080897,933333.333333333
"25",452378.787878788,736732.142857143,2039385.71428571,853323.129251701,717786.848072562,869518.424036281,3484857.14285714,586776.360544218,1448032.14285714,159065.935880388,1389938.0952381
"26",417142.857142857,399204.761904762,2226857.82312925,794950.113378685,1147786.84807256,633051.587301587,1764290.81632653,731125,1617003.17460317,524693.517384836,1706433.33333333
"27",702790.909090909,660191.666666667,2124371.42857143,867725.623582766,1564759.63718821,670623.015873016,2642050.17006803,1544428.57142857,1615463.0952381,359542.155430046,1148633.33333333
"28",511883.54978355,376076.19047619,2238890.47619048,1151168.93424036,1173657.59637188,618204.081632653,1620276.36054422,2554583.33333333,1370205.95238095,1122742.74425004,1411038.0952381
"29",556868.862090291,168303.571428571,1973438.0952381,1586887.75510204,1190719.95464853,870787.98185941,1217464.28571429,2567006.80272109,1254235.71428571,859165.431592875,1474766.66666667
"30",755074.922696351,753427.380952381,1980095.23809524,1787604.30839002,854367.346938776,1437960.31746032,710277.210884354,2995491.49659864,2174007.14285714,1319580.65214843,1363109.52380952
"31",750510.930735931,725542.857142857,1565861.9047619,1466396.54195011,540553.287981859,1681561.79138322,823745.74829932,2345530.6122449,2856753.17460317,1112096.30969935,1404271.42857143
"32",1054441.34199134,485450,2222919.04761905,1448465.41950113,1400986.39455782,984067.176870748,1137405.6122449,2146549.31972789,4864756.74603175,2180371.95426046,1925452.38095238
"33",1198123.94867038,568255.952380952,1792866.66666667,820556.405895692,717253.968253968,953405.612244898,694858.843537415,1588572.27891156,5400230.95238095,2516101.5348518,2503880.95238095
"34",1133728.60235003,833457.142857143,1504381.63265306,688652.494331066,859018.140589569,701085.884353741,1055710.88435374,1850826.53061224,4440617.06349206,2637040.76332819,1960761.9047619
"35",1258815.83178726,651921.428571429,1056628.57142857,899344.10430839,1113759.63718821,1297248.01587302,1319000.85034014,1056722.78911565,4292613.49206349,2756017.57745767,3008647.61904762
"36",1057543.42918986,555820.238095238,1392415.6462585,797041.383219955,1002866.21315193,869220.804988662,618253.401360544,1153980.44217687,3044086.9047619,3536257.00944833,1775976.19047619
"37",960809.554730983,902013.095238095,994148.299319728,496306.12244898,926819.727891156,1394304.70521542,1047107.99319728,1395043.36734694,2775930.95238095,1880125.88264225,2427876.19047619
"38",1024180.62770563,643350,1268953.06122449,857389.172335601,268158.73015873,988838.151927438,719242.346938776,773903.911564626,2263110.71428571,1717619.81814429,2611333.33333333
"39",431964.393939394,351270.238095238,1240267.34693878,771230.725623583,429340.136054422,750463.43537415,716227.040816327,929114.795918367,1595343.25396825,1150337.06418011,2098347.61904762
"40",848685.636982066,1062121.42857143,920938.095238095,536713.43537415,327873.015873016,449939.62585034,674480.442176871,794034.013605442,1204028.57142857,1324797.60623492,1444685.71428571
"41",363355.194805195,366760.714285714,897626.530612245,202051.587301587,214333.333333333,659905.045351474,472386.904761905,399523.80952381,1749948.80952381,963256.12858497,1216819.04761905
"42",777273.268398268,772033.333333333,276952.380952381,346445.011337868,281326.530612245,435406.462585034,428182.823129252,519228.741496599,1154850,566183.389121477,729585.714285714
"43",500447.619047619,361633.333333333,775293.197278912,180507.653061224,279722.222222222,729723.922902494,299788.265306122,245910.714285714,761700.793650794,567463.794952595,530247.619047619
"44",479640.909090909,184119.047619048,170976.19047619,222783.73015873,75190.4761904762,252005.66893424,130755.102040816,433584.183673469,476860.317460317,410307.098094975,236752.380952381
"45",188869.047619048,257195.238095238,269357.823129252,312353.174603175,116095.238095238,354255.66893424,229407.31292517,45875,580095.238095238,302501.99976083,260323.80952381
"46",230797.619047619,25714.2857142857,81738.0952380952,236143.424036281,81904.7619047619,64587.3015873016,217956.632653061,134793.367346939,377555.952380952,115525.140869176,244352.380952381
"47",113072.727272727,89257.1428571429,60952.3809523809,248087.301587302,104857.142857143,122826.530612245,202013.605442177,134793.367346939,315451.19047619,22235.6815917778,58128.5714285714
"48",120457.142857143,0,16214.2857142857,45875,44714.2857142857,45875,88895.4081632653,183201.530612245,61166.6666666667,21158.1816027489,58128.5714285714
"49",45875,0,81738.0952380952,174936.224489796,0,102255.102040816,105132.653061224,45897.9591836735,122333.333333333,171823.640701788,0
"50",0,29028.5714285714,102309.523809524,0,0,62089.2857142857,0,94315.4761904762,61166.6666666667,0,58128.5714285714
"51",0,0,16214.2857142857,0,0,0,0,45875,0,0,0
"52",89704.7619047619,0,0,0,0,20571.4285714286,0,0,0,0,0
"53",76442.8571428571,0,0,43020.4081632653,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,20571.4285714286,0,0,20571.4285714286,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0
