"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,363387.162775258,0,0,0,0,0,0,0,0
"5",313943.670759586,517992.911671076,0,272540.372081443,6197857.97610386,2891915.6788647,3156186.13218485,1191343.43045324,1093966.42770887,3093745.53339422,796652.968918393
"6",2556865.0658782,1649665.3013449,940053.465779765,639290.359765699,18945519.5202557,1963545.34495235,5663987.30240399,4820639.95896269,6356770.54197501,943457.956995719,345338.037835545
"7",2651760.56491728,1468323.99959229,1094221.11953481,0,15707862.1132795,3117993.55465042,2946001.93620044,917086.303475076,3319324.32913702,280454.253408552,818677.820546447
"8",615800.174926158,0,1366919.48423804,0,3816363.29463543,272676.771088769,2340153.12242335,0,1175768.33613961,404657.204228881,0
"9",0,0,0,0,271585.579030165,468145.789983698,0,0,0,0,548364.521704863
"10",0,0,0,0,0,0,280270.24969765,0,0,0,0
"11",1090009.45376347,0,686915.152758419,500300.566165652,0,848259.856285786,518808.768694689,0,0,0,301732.847373767
"12",744999.839880992,0,827741.106247523,395555.299982015,1295545.17215263,1105525.23446856,434174.234745862,433957.051102425,398745.61331869,424935.210896994,1375403.47261463
"13",3701074.18547812,1546156.1051919,1890973.9478214,1862252.05945645,881048.735988135,2703874.57653785,355248.099671525,0,0,308003.573676385,2720271.32433464
"14",1133465.77470048,1439583.96622143,911437.992177953,909713.192686455,385987.15953496,3831350.38978899,765668.13118453,348365.765461844,246948.774111076,2331143.61256618,3591416.19631664
"15",4232687.8345462,4022902.91768106,3674084.89286416,1131358.29462975,1769083.20610436,3031770.19720704,472237.073446891,0,1141435.43185652,1801676.39062386,2597518.41315816
"16",2082960.85978027,1769185.65534002,2363755.83416024,2215842.86786118,967277.708708653,8153757.22125386,225685.424301905,960598.249483973,1635194.17235519,1731347.53811301,5981988.12847543
"17",3399740.45851149,4793794.13711758,3583575.15554767,1725506.75857517,1940696.537977,6440264.02165842,433178.845901642,1511887.30671123,1592673.58479278,1305420.57322546,3400580.45690561
