"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,20857.1428571429,45714.2857142857,0,0,0,0,0,0,20571.4285714286
"7",235701.298701299,0,0,0,43020.4081632653,128948.979591837,0,0,34761.9047619048,0,34761.9047619048
"8",322854.591836735,433494.047619048,87081.6326530612,147619.047619048,43020.4081632653,468976.19047619,45875,45897.9591836735,359246.031746032,0,364671.768707483
"9",365928.571428571,441461.904761905,41714.2857142857,322000,131755.102040816,951420.068027211,91612.2448979592,107714.285714286,0,109857.142857143,387609.693877551
"10",368785.714285714,303142.857142857,153746.428571429,187523.80952381,0,882681.972789116,191380.952380952,20857.1428571429,117190.476190476,255380.952380952,629413.265306122
"11",62571.4285714286,90095.2380952381,20857.1428571429,91904.7619047619,43020.4081632653,1620335.03401361,0,180666.666666667,41285.7142857143,189285.714285714,213231.292517007
"12",45714.2857142857,137619.047619048,154187.755102041,108017.857142857,73238.0952380952,862476.19047619,0,199142.857142857,69523.8095238095,398857.142857143,279476.19047619
"13",0,20857.1428571429,160183.673469388,163857.142857143,20571.4285714286,692238.095238095,20571.4285714286,160666.666666667,0,459714.285714286,420040.816326531
"14",91750,108285.714285714,54685.7142857143,152269.841269841,16095.2380952381,332142.857142857,135252.551020408,197809.523809524,0,137142.857142857,45714.2857142857
"15",105688.311688312,317523.809523809,226537.755102041,118079.365079365,43619.0476190476,476867.346938776,137487.244897959,83428.5714285714,0,0,88734.693877551
"16",141459.183673469,192795.238095238,319016.666666667,224253.968253968,64587.3015873016,147046.93877551,544074.829931973,114726.19047619,52428.5714285714,0,0
"17",144160.482374768,411461.904761905,98375,141619.047619048,0,216720.408163265,449405.612244898,45875,146285.714285714,0,20571.4285714286
"18",172731.910946197,985439.455782313,205667.517006803,204913.832199546,66285.7142857143,513130.102040816,879010.204081633,27523.8095238095,0,0,272571.428571429
"19",221823.747680891,482319.047619048,574543.027210884,308947.562358277,63591.8367346939,432822.448979592,1536698.97959184,20857.1428571429,208142.857142857,325190.476190476,894734.693877551
"20",237446.196660482,1067628.57142857,1086921.59863946,505303.571428571,125306.12244898,1031292.68707483,1655183.67346939,77928.5714285714,249428.571428571,412809.523809524,849303.571428571
"21",149357.142857143,771209.523809524,1044217.34693878,192619.047619048,256000,889363.265306122,1408724.48979592,255000,395714.285714286,457333.333333333,860261.904761905
"22",289831.168831169,967371.428571429,1740721.08843537,305126.984126984,257877.551020408,836665.986394558,1757443.87755102,235404.761904762,600555.555555556,978928.571428571,974371.598639456
"23",235154.916512059,656285.714285714,926337.074829932,432460.317460317,306464.85260771,536064.62585034,1684182.82312925,506013.605442177,944109.126984127,550714.285714286,509011.054421769
"24",392244.202226345,453178.571428571,1378101.02040816,733527.777777778,654507.936507937,768274.829931973,1261370.74829932,746698.129251701,537898.809523809,414416.666666667,831031.462585034
"25",511716.141001855,381183.673469388,1448427.38095238,881021.825396825,277385.487528345,1145717.00680272,1309195.57823129,1387064.62585034,510142.857142857,0,563108.843537415
"26",725772.263450835,483415.986394558,894163.265306122,762125,447047.619047619,847257.142857143,826772.959183673,1263877.55102041,737994.047619048,158142.857142857,523686.224489796
"27",769355.802927232,487037.414965986,1304410.88435374,807074.546485261,278282.31292517,861747.619047619,783830.782312925,1886871.59863946,765036.904761905,873071.428571429,491692.176870748
"28",1415325.37105751,416570.068027211,1015017.68707483,844386.904761905,313913.832199546,1633523.97959184,745566.326530612,2164747.95918367,1004935.71428571,1456238.0952381,1134435.37414966
