"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,123910.920432513,468145.789983698,0,0,0,0,0,0,122213.510563574
"7",2217183.52268685,0,0,0,255581.428837316,1130415.83793802,0,0,355985.861133437,0,206518.200720855
"8",2267478.87146286,3558160.81570905,517346.279340051,1092801.83056097,255581.428837316,4022029.17541053,272540.372081443,470026.732889882,2678995.11844647,0,2856345.78481572
"9",2440235.35041914,3747327.81064523,247821.840865026,2344594.38551253,967725.63522714,7618760.08084445,938172.52287358,639923.520589827,0,830172.535124275,2487741.01741634
"10",2791486.500121,2328234.11973742,889556.695446116,1172328.02172033,0,6953695.7049622,1793461.14113222,208016.52116317,823615.118357031,2116298.13108078,4624510.74532025
"11",437640.818570012,507673.230085519,117526.889417261,722557.751166045,417860.547712734,12542712.0267848,0,1214172.99148516,232638.842750605,1279247.14619195,1388708.80071139
"12",250869.690365163,755222.297036792,1168202.2267694,730276.872475642,692799.734885719,6644446.55645896,0,1357258.1419616,381530.987430352,2352815.81325603,1533702.30495119
"13",0,111471.770913202,936785.31849899,1212266.26048902,189517.340625027,4533546.41699189,189517.340625027,1045831.85876575,0,2456959.99177181,2244923.66823436
"14",823198.184288091,735843.804276993,381510.777621924,1090294.70501961,83776.327802279,2134053.85060454,866058.978801348,1445427.62540716,0,713833.799025336,237944.599675112
"15",729628.918350928,2774523.813982,1414939.97024062,864060.197547028,322092.778920619,2493847.7359456,1033056.66612854,652477.912852168,0,0,775363.9692686
"16",1151305.63006715,1640673.98814484,1882022.48659639,1729051.92866125,318859.02482099,1087362.93599227,4283877.14929643,739468.928700192,446163.4749296,0,0
"17",1092511.26250519,3178463.07832718,562468.603758603,839982.440095777,0,1477984.54268939,3087083.89010467,220567.479212735,703343.24239421,0,98907.6434616857
"18",960597.451861209,7456247.86033552,1296431.5944408,1464177.20207597,310383.890524181,3325024.55512484,7094921.01900228,222158.120357106,0,0,1905700.70301049
"19",1504730.68252055,3640539.17880938,3321102.76674863,2228976.39626475,431987.2034656,2757233.56105136,10861450.8814405,95114.7514054638,949193.101354526,1655063.3084718,6421332.18318477
"20",1556585.06350218,7678363.41834897,6114442.69167973,2672158.45326536,694801.443395421,6938661.94377713,10336868.4059166,464344.475991017,1107778.90339532,2001003.75710332,5795716.57388246
"21",696779.465595921,5247033.44314298,5317709.71120743,1041543.66801207,1393502.68642531,5986415.3998108,8495668.77976377,1500532.65176909,2169543.79803441,2920843.14421552,4653418.16161154
"22",1920354.74859708,6478993.81812806,8771123.43648818,1905488.35122797,1217454.7308473,5130101.29582676,10733573.2327166,1507233.95507142,3663464.38358839,5590502.90921908,5458401.61549831
"23",1619312.22495781,4098107.9312029,4715256.47638584,2830019.26498959,1637859.04482873,3383676.66127525,9536035.2336573,2774779.14514771,5501915.81514481,2855403.53194402,3033546.31591128
"24",2121599.9075779,3121087.83622309,6453898.51022491,4439980.52055693,3783686.89859767,4381428.6756949,6695879.43408726,4096416.84489013,3525693.47943422,2501620.29959682,5218422.0407362
"25",3228338.64218277,2369250.20056271,8460524.49419474,5025170.27120657,1586721.21022618,7049478.6427418,5983888.47657411,8135695.20823686,2571207.40316653,0,3660694.41007171
"26",3932398.10225855,2813700.15006295,4185640.78497884,4012503.1935466,2122023.17974016,5040380.09638288,4020900.34339647,7281796.43326466,3936060.51238598,693328.864784498,3113237.5273178
"27",4431758.84708495,2199972.44230602,6311512.71309037,4393555.65618569,1185267.27879726,4709381.23430689,4261013.50781327,10724433.1044381,4506389.96801468,4544154.84455317,2998643.53000076
