"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",8.5,"day",0,2
"2",10,"day",0,1
"3",11,"day",0,3
"4",11.5,"day",0,4
"5",12,"day",2,7
"6",12.5,"day",0,5
"7",13,"day",2,10
"8",13.5,"day",2,7
"9",14,"day",2,9
"10",14.5,"day",2,9
"11",15,"day",2,5
"12",15.5,"day",3,13
"13",16,"day",1,18
"14",16.5,"day",0,10
"15",17,"day",2,4
"16",17.5,"day",0,1
"17",18,"day",0,4
"18",18.5,"day",1,4
"19",19,"day",0,6
"20",19.5,"day",0,1
"21",20,"day",0,4
"22",20.5,"day",0,8
"23",21,"day",1,7
"24",21.5,"day",3,5
"25",22,"day",3,15
"26",22.5,"day",1,8
"27",23,"day",1,25
"28",23.5,"day",1,34
"29",24,"day",11,47
"30",24.5,"day",11,54
"31",25,"day",15,112
"32",25.5,"day",10,80
"33",26,"day",34,181
"34",26.5,"day",44,250
"35",27,"day",50,357
"36",27.5,"day",79,361
"37",28,"day",106,581
"38",28.5,"day",95,554
"39",29,"day",139,789
"40",29.5,"day",118,704
"41",30,"day",192,1110
"42",30.5,"day",165,872
"43",31,"day",228,1235
"44",31.5,"day",190,1185
"45",32,"day",229,1083
"46",32.5,"day",135,912
"47",33,"day",244,1318
"48",33.5,"day",186,949
"49",34,"day",250,1283
"50",34.5,"day",201,1056
"51",35,"day",151,817
"52",35.5,"day",234,938
"53",36,"day",189,907
"54",36.5,"day",109,506
"55",37,"day",173,733
"56",37.5,"day",181,724
"57",38,"day",136,618
"58",38.5,"day",108,303
"59",39,"day",135,532
"60",39.5,"day",117,435
"61",40,"day",134,611
"62",40.5,"day",95,373
"63",41,"day",66,374
"64",41.5,"day",68,304
"65",42,"day",57,298
"66",42.5,"day",61,216
"67",43,"day",66,336
"68",43.5,"day",44,203
"69",44,"day",24,186
"70",44.5,"day",26,143
"71",45,"day",36,189
"72",45.5,"day",30,117
"73",46,"day",22,116
"74",46.5,"day",11,88
"75",47,"day",15,80
"76",47.5,"day",7,46
"77",48,"day",20,65
"78",48.5,"day",8,43
"79",49,"day",10,39
"80",49.5,"day",6,9
"81",50,"day",3,27
"82",50.5,"day",1,17
"83",51,"day",4,4
"84",51.5,"day",1,10
"85",52,"day",1,4
"86",52.5,"day",2,0
"87",53,"day",1,1
"88",54,"day",2,2
"89",54.5,"day",0,5
"90",55,"day",2,3
"91",58.5,"day",0,1
"92",10.5,"night",0,1
"93",12,"night",0,4
"94",13,"night",1,8
"95",13.5,"night",0,6
"96",14,"night",0,8
"97",14.5,"night",1,7
"98",15,"night",0,13
"99",15.5,"night",3,3
"100",16,"night",0,4
"101",16.5,"night",2,0
"102",17,"night",0,5
"103",17.5,"night",2,1
"104",18.5,"night",0,3
"105",19,"night",0,4
"106",19.5,"night",0,5
"107",20,"night",2,9
"108",20.5,"night",3,7
"109",21,"night",3,16
"110",21.5,"night",1,25
"111",22,"night",6,17
"112",22.5,"night",0,15
"113",23,"night",5,18
"114",23.5,"night",6,18
"115",24,"night",5,28
"116",24.5,"night",5,17
"117",25,"night",18,74
"118",25.5,"night",30,99
"119",26,"night",34,96
"120",26.5,"night",63,198
"121",27,"night",85,281
"122",27.5,"night",70,312
"123",28,"night",162,437
"124",28.5,"night",125,533
"125",29,"night",198,671
"126",29.5,"night",168,573
"127",30,"night",304,872
"128",30.5,"night",278,848
"129",31,"night",293,861
"130",31.5,"night",275,972
"131",32,"night",278,933
"132",32.5,"night",215,730
"133",33,"night",298,958
"134",33.5,"night",234,845
"135",34,"night",351,1051
"136",34.5,"night",281,766
"137",35,"night",237,732
"138",35.5,"night",280,825
"139",36,"night",237,732
"140",36.5,"night",125,485
"141",37,"night",187,554
"142",37.5,"night",193,528
"143",38,"night",184,510
"144",38.5,"night",128,332
"145",39,"night",137,388
"146",39.5,"night",118,340
"147",40,"night",132,378
"148",40.5,"night",89,187
"149",41,"night",63,183
"150",41.5,"night",76,113
"151",42,"night",66,208
"152",42.5,"night",43,112
"153",43,"night",77,158
"154",43.5,"night",41,89
"155",44,"night",50,116
"156",44.5,"night",37,81
"157",45,"night",23,77
"158",45.5,"night",20,69
"159",46,"night",14,56
"160",46.5,"night",14,33
"161",47,"night",10,42
"162",47.5,"night",15,26
"163",48,"night",11,34
"164",48.5,"night",4,11
"165",49,"night",7,14
"166",49.5,"night",8,7
"167",50,"night",2,8
"168",50.5,"night",7,9
"169",51,"night",12,3
"170",51.5,"night",0,10
"171",52,"night",0,2
"172",52.5,"night",3,0
"173",53,"night",0,12
"174",53.5,"night",1,6
"175",54,"night",0,2
"176",55.5,"night",0,4
"177",56.5,"night",0,7
