"","length","day.night","expnumlen.rockhopper","expnumlen.chainsweep"
"1",7,"day",0,4
"2",8,"day",1,9
"3",9,"day",0,18
"4",10,"day",3,25
"5",11,"day",6,24
"6",12,"day",1,8
"7",13,"day",1,9
"8",14,"day",1,1
"9",15,"day",1,0
"10",16,"day",0,1
"11",18,"day",0,8
"12",18.5,"day",0,2
"13",19,"day",0,8
"14",19.5,"day",1,1
"15",20,"day",2,20
"16",20.5,"day",0,1
"17",21,"day",11,22
"18",21.5,"day",2,0
"19",22,"day",5,62
"20",22.5,"day",1,5
"21",23,"day",7,65
"22",23.5,"day",3,15
"23",24,"day",12,78
"24",24.5,"day",6,32
"25",25,"day",10,115
"26",25.5,"day",5,20
"27",26,"day",41,193
"28",26.5,"day",4,27
"29",27,"day",54,288
"30",27.5,"day",4,22
"31",28,"day",56,398
"32",28.5,"day",2,80
"33",29,"day",87,400
"34",29.5,"day",15,135
"35",30,"day",91,397
"36",30.5,"day",29,187
"37",31,"day",89,403
"38",31.5,"day",48,220
"39",32,"day",103,370
"40",32.5,"day",50,198
"41",33,"day",103,453
"42",33.5,"day",44,232
"43",34,"day",59,281
"44",34.5,"day",53,243
"45",35,"day",81,323
"46",35.5,"day",42,191
"47",36,"day",36,181
"48",36.5,"day",46,173
"49",37,"day",52,211
"50",37.5,"day",29,106
"51",38,"day",51,163
"52",38.5,"day",19,89
"53",39,"day",40,118
"54",39.5,"day",18,91
"55",40,"day",23,107
"56",40.5,"day",22,59
"57",41,"day",22,60
"58",41.5,"day",11,49
"59",42,"day",12,40
"60",42.5,"day",7,30
"61",43,"day",13,41
"62",43.5,"day",5,15
"63",44,"day",6,15
"64",44.5,"day",2,7
"65",45,"day",2,4
"66",45.5,"day",2,2
"67",46,"day",0,3
"68",46.5,"day",0,4
"69",49,"day",0,1
"70",5,"night",1,0
"71",6.5,"night",1,0
"72",8,"night",2,0
"73",8.5,"night",0,1
"74",9,"night",6,3
"75",10,"night",12,15
"76",11,"night",10,11
"77",12,"night",8,9
"78",13,"night",16,9
"79",14,"night",8,0
"80",15,"night",2,0
"81",17,"night",0,1
"82",17.5,"night",0,1
"83",18,"night",2,3
"84",19,"night",0,13
"85",20,"night",2,14
"86",20.5,"night",1,1
"87",21,"night",5,20
"88",21.5,"night",3,1
"89",22,"night",15,53
"90",22.5,"night",1,3
"91",23,"night",10,51
"92",23.5,"night",3,10
"93",24,"night",20,56
"94",24.5,"night",9,18
"95",25,"night",35,63
"96",25.5,"night",19,14
"97",26,"night",57,118
"98",26.5,"night",9,16
"99",27,"night",85,148
"100",27.5,"night",10,45
"101",28,"night",140,201
"102",28.5,"night",14,81
"103",29,"night",150,276
"104",29.5,"night",45,194
"105",30,"night",176,355
"106",30.5,"night",67,207
"107",31,"night",144,364
"108",31.5,"night",72,329
"109",32,"night",150,438
"110",32.5,"night",103,286
"111",33,"night",145,449
"112",33.5,"night",97,323
"113",34,"night",116,308
"114",34.5,"night",122,305
"115",35,"night",126,336
"116",35.5,"night",102,256
"117",36,"night",61,153
"118",36.5,"night",66,227
"119",37,"night",78,210
"120",37.5,"night",46,160
"121",38,"night",46,177
"122",38.5,"night",45,147
"123",39,"night",44,137
"124",39.5,"night",23,97
"125",40,"night",33,94
"126",40.5,"night",28,52
"127",41,"night",26,60
"128",41.5,"night",19,45
"129",42,"night",18,59
"130",42.5,"night",7,25
"131",43,"night",9,34
"132",43.5,"night",3,24
"133",44,"night",6,7
"134",44.5,"night",5,5
"135",45,"night",4,8
"136",45.5,"night",1,4
"137",46,"night",1,4
"138",46.5,"night",2,2
"139",47.5,"night",1,0
"140",48.5,"night",0,1
